source,job_id,title,company,city,location_full,country,zip,salary_min,salary_max,salary_period,salary_currency,employment_type,date_posted,valid_through,tags,category,description,requirements,what_we_offer,contact_name,contact_email,url,direct_apply,remote
cvonline,1913934,Épületkarbantartó / Villanyszerelő (Szentendre),SPAR Magyarország Kereskedelmi Kft.,Szentendre,Szentendre,HU,,,,,HUF,FULL_TIME,2026-06-02,2026-08-01,,,"A SPAR Magyarország Kereskedelmi Kft. 1990 óta van jelen a magyar kiskereskedelmi piacon. Jelenleg országosan több mint 600 SPAR egység üzemel több áruháztípusban. A SPAR Csoport több mint 14 500 dolgozójával Magyarország egyik legnagyobb munkaadója. Sikerének kulcsa a dolgozóiban rejlik, akiknek szociális biztonságot, versenyképes jövedelmet, színvonalas munkakörülményeket nyújt. 
 
SPAR karrier. Jó döntés. 
 Feladatok: Az INTERSPAR áruház háztechnikusi teendőinek ellátása: Havi/heti/napi rendszeres ellenőrzések, hibafeltárások, szükséges beállítások, kisebb javítások és karbantartások elvégzése 
Épületgépészeti-felügyeleti rendszer üzemeltetése, karbantartó szakcégek munkájának felügyelete, munkaterület biztosítása, munkalapok igazolása 
Környező szupermarketekben történő kisebb felmérések, hibafeltárások, hibaelhárítások elvégzése, segítségnyújtás az ott felmerülő műszaki problémák megoldásában.",,,,,https://www.cvonline.hu/hu/allas/epuletkarbantarto-villanyszerelo-szentendre-1913934,False,
cvonline,1913921,Létesítményfelelős I. ,MÁV Pályaműködtetési Zrt. ,Budapest,Budapest,HU,,,,,HUF,FULL_TIME,2026-06-02,2026-08-01,,,"Szeretnél Magyarország egyik legnagyobb vállalatánál dolgozni? Jelentkezz hozzánk! Ha szeretnél sokrétű tapasztalatot szerezni az ingatlanok üzemeltetésében, akkor várunk csapatunkba! 
 Új munkatársunk feladatai lesznek 
- önállóan ellenőrzi az üzemeltetésében lévő objektummal, épülettel, építménnyel, ingatlannal összefüggő minden technikai jellegű, karbantartási, javítási, takarítási és egyéb feladatok elvégzését, a tevékenységekre vonatkozó, érvényben lévő szerződések és azok mellékleteiben rögzítettek szerint a hatályos törvények, jogszabályok és belső utasítások betartását 
- szervezi, felügyeli, ellenőrzi és igazolja a(z): 
a) takarítás, hó- és síkosság-mentesítés, higiéniás anyag kihelyezés és pótlás, belépőszőnyeg elhelyezés szerződés szerinti teljesítését 
b) szilárd és folyékony hulladékszállítási közszolgáltatói tevékenység teljesítését 
c) illegálisan elhelyezett hulladékok felszámolásához kapcsolódó tevékenység teljesítését 
d) mobil illemhelyek kihelyezését, szerződés szerinti karbantartását 
e) rovar- és rágcsálóirtás teljesítését 
f) zöld területek alvállalkozó által végzett karbantartási (kaszálás, bozótirtás, fakivágás, egyéb kertészeti feladatok) tevékenységének teljesítését 
g) közmunka programban részt vevők feladatait (kaszálás, bokorirtás, szemétgyűjtés) 
h) Kommunikációs igazgatóság által megkötött reklámtábla szerződések ellenőrzési feladatai 
- az épületre vonatkozó általános (nem tevékenység függő) Tűzvédelmi Szabályzat előírásainak betartását, illetve betartatását, valamint a Tűzvédelmi eszközök meglétét ellenőrzi, nem megfelelőséget jelzi a tűzvédelmi szakelőadó felé 
 
 Amire a munkakör betöltéséhez szükség van 
- középiskolai szakirányú végzettség (épületgépész-technikus, gépésztechnikus, magasépítő technikus, mélyépítő technikus) – érettségi vagy 
- középiskolai végzettség – érettségi és középfokú szakirányú szakképesítés (ingatlankezelő, ingatlanüzemeltető, társasházkezelő) 
 
 Tulajdonságok, melyek számunkra fontosak 
- szakszerűség 
- megbízhatóság 
- szervezőkészség 
- együttműködő képesség 
- jó írásbeli és szóbeli kommunikációs készség 
 
 Előnyként értékeljük 
- B kategóriás közúti járművezetői engedély 
 Amit ajánlunk 
A juttatási csomag tartalmazza: 
- 400.000 Ft/év SZÉP-kártya juttatás 
- hűség bónusz év végén (a hatályos belső szabályozás szerint) 
- a havi bruttó alapbér 4%-ának megfelelő önkéntes nyugdíjpénztári hozzájárulás 
- havi nettó 7000 Ft összegű önkéntes egészségpénztári tagdíj-hozzájárulás 
 A fenti juttatások a naptári évben ledolgozott munkanapok arányában kerülnek kifizetésre. 
 Amit ajánlunk továbbá: 
- biztos munkahely 
- kiszámítható munkaidő és jövedelem 
- utazási kedvezmény (belföldön és egyes nemzetközi vasútvonalakon), szabályozás szerint a családtagok részére is 
- kedvezményes országbérlet vásárlási lehetőség munkavállalóink részére 
- a tanulmányok idejére minden érintett munkavállalónak díjmentes szállás biztosítása 
- szakmai fejlődési lehetőség 
 Munkavégzés helye 
Budapest Bu",,,,,https://www.cvonline.hu/hu/allas/letesitmenyfelelos-i-1913921,False,
cvonline,1913919,Karosszérialakatos,MÁV Személyszállítási Zrt. ,Szekszárd,Szekszárd,HU,,,,,HUF,FULL_TIME,2026-06-02,2026-08-01,,,"Most különösen megéri karosszérialakatosként csatlakozni hozzánk! 
Extra belépési bónusszal és kiemelt béren kívüli juttatásokkal várjuk új kollégáinkat. 
Stabil háttér, kiszámítható feltételek és hosszú távú munkalehetőség mellett olyan juttatási csomagot kínálunk, amely a piacon is kiemelkedő. 
 
 Új munkatársunk feladatai lesznek 
- a javításra átvett gépjárművek karosszéria elemeinek javítása 
- lakatos és hegesztési munkák elvégzése külső karosszéria elemeken 
- fém és műanyag karosszéria elemek bontása, összeépítése 
- szélvédők és külső üvegfelületek ragasztása 
 Amire a munkakör betöltéséhez szükség van 
- karosszérialakatos szakképzettség 
 
 Tulajdonságok, melyek számunkra fontosak 
- önálló, pontos munkavégzés 
 Amit ajánlunk 
- extra egyszeri belépési bónusz: bruttó 750.000 Ft a 2026. június 1. és augusztus 31. közötti felvételek esetén, a kifizetése a próbaidő lejárta után, de legkorábban december 10-ig esedékes bérfizetéssel együtt történik. 
- kiemelt béren kívüli juttatási csomag: évi nettó 400 000 Ft SZÉP-kártya (kifizetés belső szabályozás szerint), év végén bruttó 350.000 Ft lojalitási juttatás (időarányosan), egészség- és nyugdíjpénztári támogatás 
- stabil munkahely és kiszámítható jövedelem egy biztos hátterű nagyvállalatnál 
- kedvezményes országbérlet vásárlási lehetőség 
- ingyenes utazási lehetőség Magyarországon, valamint további nemzetközi kedvezmények 1 év munkaviszony után Európa számos országába 
- utazási kedvezmények a családtagok részére is 
- ingyenes egészségügyi szűrőprogram 
- munkaruha 
 Munkavégzés helye 
Szekszárd Szekszárd 
 Munkaidő 
Teljes munkaidő 
 Foglalkoztatás formája 
Határozatlan idejű 
 Jelentkezés határideje 
2026-06-30 
 Vállalati bemutatkozó 
A MÁV Személyszállítási Zrt. vasúti és autóbuszos személyszállítást végző vállalat, mely egy fenntartható, hatékony, és jól működő rendszerben összehangoltan és egységesen látja el a közösségi közlekedéssel kapcsolatos feladatokat. Tevékenységi körébe tartozik a személyszállítás biztosítása, a közösségi közlekedésben részt vevő járművek karbantartása, javítása. Célunk, hogy folyamatosan bővülő szolgáltatásaink színvonalát emeljük, így teremtve értéket utasainknak.",,,,,https://www.cvonline.hu/hu/allas/karosszerialakatos-1913919,False,
cvonline,1913918,Karosszérialakatos,MÁV Személyszállítási Zrt. ,Kapuvár,Kapuvár,HU,,,,,HUF,FULL_TIME,2026-06-02,2026-08-01,,,"Most különösen megéri karosszérialakatosként csatlakozni hozzánk! 
Extra belépési bónusszal és kiemelt béren kívüli juttatásokkal várjuk új kollégáinkat. 
Stabil háttér, kiszámítható feltételek és hosszú távú munkalehetőség mellett olyan juttatási csomagot kínálunk, amely a piacon is kiemelkedő. 
 
 Új munkatársunk feladatai lesznek 
- a javításra átvett gépjárművek karosszéria elemeinek javítása 
- lakatos és hegesztési munkák elvégzése külső karosszéria elemeken 
- fém és műanyag karosszéria elemek bontása, összeépítése 
- szélvédők és külső üvegfelületek ragasztása 
 Amire a munkakör betöltéséhez szükség van 
- karosszérialakatos szakképzettség 
- önálló, pontos munkavégzés 
 
 Amit ajánlunk 
- extra egyszeri belépési bónusz: bruttó 750.000 Ft a 2026. június 1. és augusztus 31. közötti felvételek esetén. A kifizetése a próbaidő lejárta után, de legkésőbb a december havi munkabér kifizetésével együtt történik 
- kiemelt béren kívüli juttatási csomag: évi nettó 400 000 Ft SZÉP-kártya (kifizetés belső szabályozás szerint), év végén bruttó 350.000 Ft lojalitási juttatás (időarányosan), egészség- és nyugdíjpénztári támogatás 
- stabil munkahely és kiszámítható jövedelem egy biztos hátterű nagyvállalatnál 
- kedvezményes országbérlet vásárlási lehetőség 
- ingyenes utazási lehetőség Magyarországon, valamint további nemzetközi kedvezmények 1 év munkaviszony után Európa számos országába 
- utazási kedvezmények a családtagok részére is 
- ingyenes egészségügyi szűrőprogram 
- munkaruha 
 Munkavégzés helye 
Kapuvár 
 Munkaidő 
Teljes munkaidő 
 Foglalkoztatás formája 
Határozatlan idejű 
 Jelentkezés határideje 
2026-06-30 
 Vállalati bemutatkozó 
A MÁV Személyszállítási Zrt. vasúti és autóbuszos személyszállítást végző vállalat, mely egy fenntartható, hatékony, és jól működő rendszerben összehangoltan és egységesen látja el a közösségi közlekedéssel kapcsolatos feladatokat. Tevékenységi körébe tartozik a személyszállítás biztosítása, a közösségi közlekedésben részt vevő járművek karbantartása, javítása. Célunk, hogy folyamatosan bővülő szolgáltatásaink színvonalát emeljük, így teremtve értéket utasainknak.",,,,,https://www.cvonline.hu/hu/allas/karosszerialakatos-1913918,False,
cvonline,1913917,Jármű-klímaszerelő,MÁV Személyszállítási Zrt. ,Szombathely,Szombathely,HU,,,,,HUF,FULL_TIME,2026-06-02,2026-08-01,,,"Most különösen megéri jármű-klímaszerelőként csatlakozni hozzánk! 
Extra belépési bónusszal és kiemelt béren kívüli juttatásokkal várjuk új kollégáinkat. 
Stabil háttér, kiszámítható feltételek és hosszú távú munkalehetőség mellett olyan juttatási csomagot kínálunk, amely a piacon is kiemelkedő. 
 
 Új munkatársunk feladatai lesznek 
- autóbuszok klímaberendezéseinek műszeres ellenőrzése, beszabályozása, javítása és karbantartása 
- a szerviz útmutatásai alapján a meghibásodott készülékek részegységeinek tesztelése, a hiba behatárolása és a készülék javítása 
- elektromos berendezések ellenőrzése, karbantartása, cseréje 
- szűrő betétek tisztítása, cseréje 
- rendszer tömítettség ellenőrzése, javítása 
- klímagáz szakszerű lefejtése, tárolása és töltése 
- klímaállvány szakszerű kezelése 
- fűtőkészülék javítása, ellenőrzése, karbantartása 
 Amire a munkakör betöltéséhez szükség van 
- szakirányú végzettség (pl.: jármű-klímaszerelő, autóvillamossági szerelő vagy autóelektronikai műszerész) 
- jármű-klímaszerelő speciális ismeretek 
 Előnyként értékeljük 
- legalább 1 év szakmai tapasztalat 
 Amit ajánlunk 
- extra egyszeri belépési bónusz: bruttó 750.000 Ft a 2026. június 1. és augusztus 31. közötti felvételek esetén. A kifizetése a próbaidő lejárta után, de legkésőbb a december havi munkabér kifizetésével együtt történik 
- kiemelt béren kívüli juttatási csomag: évi nettó 400 000 Ft SZÉP-kártya (kifizetés belső szabályozás szerint), év végén bruttó 350.000 Ft lojalitási juttatás (időarányosan), egészség- és nyugdíjpénztári támogatás 
- stabil munkahely és kiszámítható jövedelem egy biztos hátterű nagyvállalatnál 
- kedvezményes országbérlet vásárlási lehetőség 
- ingyenes utazási lehetőség Magyarországon, valamint további nemzetközi kedvezmények 1 év munkaviszony után Európa számos országába 
- utazási kedvezmények a családtagok részére is 
- ingyenes egészségügyi szűrőprogram 
- munkaruha 
 Munkavégzés helye 
Szombathely 
 Munkaidő 
Teljes munkaidő 
 Foglalkoztatás formája 
Határozatlan idejű 
 Jelentkezés határideje 
2026-06-30 
 Vállalati bemutatkozó 
A MÁV Személyszállítási Zrt. vasúti és autóbuszos személyszállítást végző vállalat, mely egy fenntartható, hatékony, és jól működő rendszerben összehangoltan és egységesen látja el a közösségi közlekedéssel kapcsolatos feladatokat. Tevékenységi körébe tartozik a személyszállítás biztosítása, a közösségi közlekedésben részt vevő járművek karbantartása, javítása. Célunk, hogy folyamatosan bővülő szolgáltatásaink színvonalát emeljük, így teremtve értéket utasainknak.",,,,,https://www.cvonline.hu/hu/allas/jarmu-klimaszerelo-1913917,False,
cvonline,1913916,Jármű-klímaszerelő,MÁV Személyszállítási Zrt. ,Győr,Győr,HU,,,,,HUF,FULL_TIME,2026-06-02,2026-08-01,,,"Most különösen megéri jármű-klímaszerelőként csatlakozni hozzánk! 
Extra belépési bónusszal és kiemelt béren kívüli juttatásokkal várjuk új kollégáinkat. 
Stabil háttér, kiszámítható feltételek és hosszú távú munkalehetőség mellett olyan juttatási csomagot kínálunk, amely a piacon is kiemelkedő. 
 
 Új munkatársunk feladatai lesznek 
- autóbuszok klímaberendezéseinek műszeres ellenőrzése, beszabályozása, javítása és karbantartása 
- a szerviz útmutatásai alapján a meghibásodott készülékek részegységeinek tesztelése, a hiba behatárolása és a készülék javítása 
- elektromos berendezések ellenőrzése, karbantartása, cseréje 
- szűrő betétek tisztítása, cseréje 
- rendszer tömítettség ellenőrzése, javítása 
- klímagáz szakszerű lefejtése, tárolása és töltése 
- klímaállvány szakszerű kezelése 
- fűtőkészülék javítása, ellenőrzése, karbantartása 
 Amire a munkakör betöltéséhez szükség van 
- szakirányú végzettség (pl.: jármű-klímaszerelő, autóvillamossági szerelő vagy autóelektronikai műszerész) 
- jármű-klímaszerelő speciális ismeretek 
 Előnyként értékeljük 
- legalább 1 év szakmai tapasztalat 
 Amit ajánlunk 
- extra egyszeri belépési bónusz: bruttó 750.000 Ft a 2026. június 1. és augusztus 31. közötti felvételek esetén. A kifizetése a próbaidő lejárta után, de legkésőbb a december havi munkabér kifizetésével együtt történik 
- kiemelt béren kívüli juttatási csomag: évi nettó 400 000 Ft SZÉP-kártya (kifizetés belső szabályozás szerint), év végén bruttó 350.000 Ft lojalitási juttatás (időarányosan), egészség- és nyugdíjpénztári támogatás 
- stabil munkahely és kiszámítható jövedelem egy biztos hátterű nagyvállalatnál 
- kedvezményes országbérlet vásárlási lehetőség 
- ingyenes utazási lehetőség Magyarországon, valamint további nemzetközi kedvezmények 1 év munkaviszony után Európa számos országába 
- utazási kedvezmények a családtagok részére is 
- ingyenes egészségügyi szűrőprogram 
- munkaruha 
 Munkavégzés helye 
Győr Győr, Ipar utca 
 Munkaidő 
Teljes munkaidő 
 Foglalkoztatás formája 
Határozatlan idejű 
 Jelentkezés határideje 
2026-06-30 
 Vállalati bemutatkozó 
A MÁV Személyszállítási Zrt. vasúti és autóbuszos személyszállítást végző vállalat, mely egy fenntartható, hatékony, és jól működő rendszerben összehangoltan és egységesen látja el a közösségi közlekedéssel kapcsolatos feladatokat. Tevékenységi körébe tartozik a személyszállítás biztosítása, a közösségi közlekedésben részt vevő járművek karbantartása, javítása. Célunk, hogy folyamatosan bővülő szolgáltatásaink színvonalát emeljük, így teremtve értéket utasainknak.",,,,,https://www.cvonline.hu/hu/allas/jarmu-klimaszerelo-1913916,False,
cvonline,1913915,Karosszérialakatos,MÁV Személyszállítási Zrt. ,Szeged,Szeged,HU,,,,,HUF,FULL_TIME,2026-06-02,2026-08-01,,,"Most különösen megéri karosszérialakatosként csatlakozni hozzánk! 
Extra belépési bónusszal és kiemelt béren kívüli juttatásokkal várjuk új kollégáinkat. 
Stabil háttér, kiszámítható feltételek és hosszú távú munkalehetőség mellett olyan juttatási csomagot kínálunk, amely a piacon is kiemelkedő. 
 Új munkatársunk feladatai lesznek 
- a javításra átvett gépjárművek karosszéria elemeinek javítása 
- lakatos és hegesztési munkák elvégzése külső karosszéria elemeken 
- fém és műanyag karosszéria elemek bontása, összeépítése 
- szélvédők és külső üvegfelületek ragasztása 
 Amire a munkakör betöltéséhez szükség van 
- középfokú állami iskolai végzettség (karosszérialakatos) 
 Tulajdonságok, melyek számunkra fontosak 
- önálló, pontos munkavégzés 
 Amit ajánlunk 
- extra egyszeri belépési bónusz: bruttó 750.000 Ft a 2026. június 01. és augusztus 31. közötti felvételek esetén, a kifizetése a próbaidő lejárta után, de legkorábban december 10-ig esedékes bérfizetéssel együtt történik 
- kiemelt béren kívüli juttatási csomag: évi nettó 400 000 Ft SZÉP-kártya (kifizetés belső szabályozás szerint), év végén bruttó 350.000 Ft lojalitási juttatás (időarányosan), egészség- és nyugdíjpénztári támogatás 
- stabil munkahely és kiszámítható jövedelem egy biztos hátterű nagyvállalatnál 
- kedvezményes országbérlet vásárlási lehetőség 
- ingyenes utazási lehetőség Magyarországon, valamint további nemzetközi kedvezmények 1 év munkaviszony után Európa számos országába 
- utazási kedvezmények a családtagok részére is 
- ingyenes egészségügyi szűrőprogram 
- munkaruha 
 Munkavégzés helye 
Szeged Szeged 
 Munkaidő 
Teljes munkaidő 
 Foglalkoztatás formája 
Határozatlan idejű 
 Jelentkezés határideje 
2026-06-30 
 Vállalati bemutatkozó 
A MÁV Személyszállítási Zrt. vasúti és autóbuszos személyszállítást végző vállalat, mely egy fenntartható, hatékony, és jól működő rendszerben összehangoltan és egységesen látja el a közösségi közlekedéssel kapcsolatos feladatokat. Tevékenységi körébe tartozik a személyszállítás biztosítása, a közösségi közlekedésben részt vevő járművek karbantartása, javítása. Célunk, hogy folyamatosan bővülő szolgáltatásaink színvonalát emeljük, így teremtve értéket utasainknak.",,,,,https://www.cvonline.hu/hu/allas/karosszerialakatos-1913915,False,
cvonline,1913913,Villamoshálózat szerelő ,MÁV Pályaműködtetési Zrt. ,Hatvan,Hatvan,HU,,,,,HUF,FULL_TIME,2026-06-02,2026-08-01,,,"Érdekel a villamosság, és megvan hozzá a középfokú szakirányú végzettséged? Energiaellátási területünkön villamoshálózat szerelő majd villamoshálózat felmérő is lehetsz. Ha szívesen fejlesztenéd magad, akkor néhány év alatt mester válhat belőled. Csatlakozz csapatunkhoz és építsd nálunk karriered! 
 Új munkatársunk feladatai lesznek 
- villamos és energiaellátási berendezések karbantartása, azokban bekövetkezett meghibásodások üzemzavarok elhárítása 
- feszültségmentesítés és szerelői érintésvédelmi ellenőrzések végzése 
 Amire a munkakör betöltéséhez szükség van 
- középfokú szakirányú végzettség (villanyszerelő, villamos elosztóhálózat szerelő, üzemeltető, villamos távvezeték építő, üzemeltető, villámvédelmi felülvizsgáló, villamos hálózat kezelő, villamos alállomás kezelő, villamos biztonsági felülvizsgáló, korszerű vasúti kocsi villamossági szerelő) 
- orvosi alkalmasság 
- változó körülmények között végzett bel- és kültéri tevékenység vállalása 
 Előnyként értékeljük 
- érettségi szakirányú szakképesítéssel 
 Amit ajánlunk 
- 400.000 Ft/év SZÉP-kártya juttatás 
- hűség bónusz év végén (a hatályos belső szabályozás szerint) 
- min. Br.215.100 Ft/év (a havi bruttó alapbér 4%-ának megfelelő) önkéntes nyugdíjpénztári hozzájárulás 
- havi nettó 7000 Ft összegű önkéntes egészségpénztári tagdíj-hozzájárulás 
 A fenti juttatások a naptári évben ledolgozott munkanapok arányában kerülnek kifizetésre. 
 Amit ajánlunk továbbá: 
- biztos munkahely 
- kiszámítható munkaidő és jövedelem 
- utazási kedvezmény (belföldön és egyes nemzetközi vasútvonalakon), szabályozás szerint a családtagok részére is 
- kedvezményes országbérlet vásárlási lehetőség munkavállalóink részére 
- a tanulmányok idejére minden érintett munkavállalónak díjmentes szállás biztosítása 
- szakmai fejlődési lehetőség 
- ruházati ellátás 
 
 Munkavégzés helye 
Hatvan Hatvan 
 Munkaidő 
Teljes munkaidő 
 Foglalkoztatás formája 
Határozatlan idejű 
 Jelentkezés határideje 
2026-06-30 
 Vállalati bemutatkozó 
A MÁV Pályaműködtetési Zrt. a magyarországi közforgalmú vasúti pályahálózat nagy részének üzemeltetőjeként mintegy 7000 kilométernyi vaspálya és az ahhoz kapcsolódó infrastruktúra működtetéséről gondoskodik. Teljes körűen látja el az üzemeltetési, forgalomirányítási és karbantartási, valamint részben a felújítási feladatokat.",,,,,https://www.cvonline.hu/hu/allas/villamoshalozat-szerelo-1913913,False,
cvonline,1913912,Pénzforgalmi könyvelés területre könyvelő,MÁV Szolgáltató Központ Zrt.,Budapest,Budapest,HU,,,,,HUF,FULL_TIME,2026-06-02,2026-08-01,,,"A MÁV Szolgáltató Központ Zrt. Könyvelés szervezetének feladata a megrendelők bejövő és kimenő számláival, pénzeszközeivel, valamint tárgyi eszközeivel kapcsolatos könyvelési feladatok végzése. 
 Tapasztalt könyvelőként, vagy pályakezdőként szeretnél elhelyezkedni? Szívesen végeznél könyvelési feladatokat nagyvállalati környezetben, magas színvonalú informatikai támogatással és professzionális rendszerek igénybevételével? A teljes könyvelési folyamat helyett elmélyednél a pénzforgalmi könyvelés terület feladataiban? Legyél Te az új kollégánk! 
 Új munkatársunk feladatai lesznek 
- bankkártyás bizonylatok, számlák könyvelése 
- bankkivonatok könyvelése 
- havi, negyedéves, éves zárásokban való aktív közreműködés 
- bankkártyás bizonylatok elszámolását segítő informatikai rendszer működtetése, a fejlesztésre vonatkozóan javaslattétel 
- készpénzes szállítói számlák felülvizsgálata, megfelelő főkönyvi számlára kontírozása 
- meglévő munkáltatói kölcsönállománnyal kapcsolatos könyvelési és ügyintézési feladatok 
 
 Amire a munkakör betöltéséhez szükség van 
- érettségi 
- emelt szintű számviteli szakképesítés (mérlegképes könyvelő, vagy pénzügyi-számviteli ügyintéző végzettség) 
- legalább 3 éves szakmai gyakorlat, de szívesen fogadunk pályakezdőt is 
- a szakterületre vonatkozó törvények, jogszabályok naprakész ismerete 
- adózási ismeretek (elsősorban ÁFA) 
- magas szintű MS Office ismeret (különösen Excel, Word) 
 Tulajdonságok, melyek számunkra fontosak 
- monotonitástűrő képesség 
- pontosság, szabály- és folyamatkövetés 
- nyitottság új, automatizált megoldásokra 
- magas szintű írásbeli és szóbeli kommunikációs készség 
 Előnyként értékeljük 
- könyvelési területen szerzett tapasztalat 
- gazdasági területen szerzett diploma 
- SAP FI modul, vagy más komplex ügyviteli rendszer ismerete 
 Amit ajánlunk 
- szakmai fejlődési lehetőség Magyarország egyik legnagyobb vállalatcsoportjánál 
- hosszú távú foglalkoztatási biztonság 
- barátságos csapat, támogató munkahelyi légkör 
- igényes munkakörnyezet, korszerű munkaeszközök 
- rugalmas munkaidő 
- bruttó munkabér 4%-ának megfelelő összegű önkéntes nyugdíjpénztári támogatás havonta 
- bruttó 10.526,- Ft /hó önkéntes egészségpénztári tagdíj-kiegészítés munkabérből való legalább nettó 2.000,- Ft /hó tagdíj levonása esetén 
- vasúti utazási igazolvány biztosítása (szabályozás szerinti hozzátartozók részére is) 
- vállalati országbérlet kedvezményes vásárlása munkavállalóink részére 
 Munkavégzés helye 
Budapest 
 Munkaidő 
Teljes munkaidő 
 Foglalkoztatás formája 
Határozatlan idejű 
 Jelentkezés határideje 
2026-06-30 
 Vállalati bemutatkozó 
Jobban megismernéd társaságunkat és kíváncsi vagy, mire számíthatsz a kiválasztási folyamat során, vagy melyik szervezetbe várunk Téged? Kattints ide és pillants bele feladatainkba, mindennapjainkba! 
 https://karrier.mavcsoport.hu/node/108",,,,,https://www.cvonline.hu/hu/allas/penzforgalmi-konyveles-teruletre-konyvelo-1913912,False,
cvonline,1913910,Alkatrész Kiszállító munkatárs – (Győr II.),Unix Autó Kft.,Győr,Győr,HU,,,,,HUF,FULL_TIME,2026-06-02,2026-07-02,,,"A 35 éves Unix Autó Magyarország piacvezető és Közép-Európa egyik meghatározó autóalkatrész-kereskedelmi vállalata. 3 országban közel 3000 munkatárssal és mintegy 180 áruházban szolgáljuk ki partnereinket és vásárlóinkat. Büszkék vagyunk rá, hogy eredményes működésünk elismeréseként 2016- ban megkaptuk az „Év Magyar Vállalata” címet, sokszoros Magyar- és Superbrands díjas vállalat vagyunk.  Felelős munkaadóként anyagi biztonságot és stabil munkahelyet nyújtunk munkavállalóinknak. 
 Jelentkezz Te is és csatlakozz hozzánk az alábbi pozícióban: 
 KISZÁLLÍTÓ – MEGEMELT BÉRREL 
 Próbaidő után a pozícióban megkeresett átlagos bruttó béreink: 505.669 Ft 
 Legmagasabb bruttó bér a pozícióban az előző havi fizetéseink alapján: 724.083 Ft 
 Mi lesz a feladatod? 
 
 Partnerek által megrendelt termékek kiszállítása 
 Kiemelt partnerekkel való rendszeres kapcsolattartás, akciókról való tájékoztatás 
 Raktári feladatok ellátása, áru rendszerezése 
 Szállításhoz kapcsolódó dokumentumok kezelése, adminisztráció elvégzése 
 
 Mit adunk munkádért cserébe? 
 
 Céges mobiltelefont, amit privát célra is használhatsz 
 Igényes, modern munkaruhát (cipő, nadrág, póló, polár pulóver, kabát) 
 Egyéni teljesítménytől függő prémiumot havi szinten 
 Jó állapotú, modern kiszállítóautóval dolgozhatsz 
 Előre tervezhető munkaidő 
 Gyors és hatékony munkaeszközök (PDA, informatikai rendszer) 
 Folyamatos visszajelzést és karrierutat biztosítunk Neked - jó teljesítményed garancia lesz az előrelépésre! 
 
 Mit várunk Tőled? 
 
 Érvényes ""B"" kategóriás jogosítvány 
 Legalább 1-3 éves vezetési tapasztalat 
 Magabiztos helyismeret 
 Előnyt jelent értékesítésben szerzett tapasztalat, de az sem okoz problémát, ha pályakezdő vagy, mert mi megtanítunk mindenre!",,,,,https://www.cvonline.hu/hu/allas/alkatresz-kiszallito-munkatars-mosonmagyarovar-1913910,False,
