source,job_id,title,company,city,location_full,country,zip,salary_min,salary_max,salary_period,salary_currency,employment_type,date_posted,valid_through,tags,category,description,requirements,what_we_offer,contact_name,contact_email,url,direct_apply,remote
euraxess,441844,"Research Grant (BI), for the conduct of R&D activities by a graduate with a Master degree enrolled in a Course non-leading to an academic degree - Ref. ª SF/2026/15",Faculdade de Ciências Médicas|NOVA Medical School da Universidade NOVA de Lisboa.,,"Number of offers: 1, Portugal, Nova Medical School",,,,,,,,2 June 202,2026-06-18,Biological sciences; Other; Medical sciences; Other Profession; Not funded by a EU programme,research,"There is an open call for applications for a Research Grant (BI), for the conduct of R&D activities by a graduate with a Master degree enrolled in a Course non-leading to an academic degree, under reference SF/2026/15 in the scope of the PI - IF- 2024.17504.PEX - HERO project, at the institution... ...",,,,,https://euraxess.ec.europa.eu/jobs/441844,False,
euraxess,441843,CALL FOR EXPRESSIONS OF INTEREST - MIA-Portugal (GA:857524),Universidade de Coimbra,,"Number of offers: 1, Portugal, University of Coimbra",,,,,,,,2 June 202,2026-06-18,Other; Recognised Researcher (R2); Horizon 2020,research,"CALL FOR EXPRESSIONS OF INTERESTPostdoctoral/Auxiliary Researcher Position University of Coimbra opens a call to hire one Postdoctoral/Auxiliary Researcher to join Marco Candeias’ Lab at the Multidisciplinary Institute of Ageing - MIA-Portugal, co-funded by the European Horizon2020 TEAMING Program...",,,,,https://euraxess.ec.europa.eu/jobs/441843,False,
euraxess,441841,Post-doctoral researcher in reproducible experimentation and network acceleration for generative AI – 18-month Fixed-Term Contract,IMT - Institut Mines-Télécom,,"Number of offers: 1, France, IMT Atlantique, Nantes, 44000, 4 Rue Alfred Kastler, 44300 Nantes",,,,,,,,2 June 202,2026-06-30,Computer science; Computer systems; Engineering; Computer engineering; First Stage Researcher (R1); Not funded by a EU programme,research,"A leading general engineering school within IMT (Institut Mines-Télécom), the number one group of engineering schools in France, IMT Atlantique aims to support transitions and train responsible engineers. We place scientific and technical excellence at the service of education, research, and...",,,,,https://euraxess.ec.europa.eu/jobs/441841,False,
euraxess,441839,Assistant Professor (F/M),University of Warsaw,,"Number of offers: 1, Poland, Faculty of Modern Languages, Institute of Iberian and Ibero-American Studies",,,,,,,,2 June 202,2026-07-02,Literature; Recognised Researcher (R2); Not funded by a EU programme,research,"COMPETITION ANNOUNCEMENT Dean of the Faculty of Modern Languages, University of Warsaw invites applications for the position of Assistant Professor (F/M) (research and teaching academics) at the Institute of Iberian and Ibero-American Studies Position details: Position: Assistant Professor (F/M...",,,,,https://euraxess.ec.europa.eu/jobs/441839,False,
euraxess,441840,Post-doctoral Fellowship in Diffusion Neuroimaging – 24-month Fixed-Term Contract,IMT - Institut Mines-Télécom,,"Number of offers: 1, France, IMT Atlantique, Brest, 29200, 655 avenue du technopôle 29280 Plouzané",,,,,,,,2 June 202,2026-06-30,Technology; Medical technology; Neurosciences; Neuroinformatics; First Stage Researcher (R1); Not funded by a EU programme,research,"A leading general engineering school within IMT (Institut Mines-Télécom), the number one group of engineering schools in France, IMT Atlantique aims to support transitions and train responsible engineers. We place scientific and technical excellence at the service of education, research, and...",,,,,https://euraxess.ec.europa.eu/jobs/441840,False,
euraxess,441838,Internationalization Project Manager (IPM),Museo Nacional de Ciencias Naturales (MNCN-CSIC),,"Number of offers: 1, Spain, Museo Nacional de Ciencias Naturales (MNCN-CSIC), Madrid, 28006, Madrid, Jose Gutierrez Abascal 2",,,,,,,,2 June 202,2026-06-21,Biological sciences; Biodiversity; Environmental science; Ecology; Global change; Geosciences; Hydrology; Other Profession; Not funded by a EU programme,research,The National Museum of Natural Sciences (MNCN-CSIC) is seeking an Internationalization Project Manager (IPM) to coordinate the newly created International Project Management Unit. This role is funded under the UNEARTHING-MNCN project and aims to increase the success rate in international project...,,,,,https://euraxess.ec.europa.eu/jobs/441838,False,
euraxess,441836,Research Assistant / PhD Student in Cryptography and Privacy Engineering,TU Darmstadt,,"Number of offers: 1, Germany, TU Darmstadt / ENCRYPTO, Darmstadt, 64289, Pankratiusstr. 2",,,,,,,,2 June 202,2026-06-15,Computer science; Other; First Stage Researcher (R1); Horizon Europe (other),research,The Cryptography and Privacy Engineering Group (ENCRYPTO) at the Department of Computer Science of the Technical University of Darmstadt offers a position as doctoral researcher for doing cutting-edge research in applied cryptography/secure multi-party computation. The full position is to be filled...,,,,,https://euraxess.ec.europa.eu/jobs/441836,False,
euraxess,441835,Postdoc Position in Immunomodulatory self-assembling peptide-based biomaterials,University of Southern Denmark,,"Number of offers: 1, Denmark, University of Southern Denmark/The Faculty of Engineering, Odense, 5230, Syddanmark, Campusvej 55",,,,,,,,2 June 202,2026-07-31,Engineering; Biomaterial engineering; Recognised Researcher (R2); Not funded by a EU programme,research,"The Biotechnology section at the Department of Green Technology, Faculty of Engineering, University of Southern Denmark invites applications for one Postdoc position in immunomodulatory biomaterials starting 1/9/2026 (or as soon as possible afterwards, according to mutual agreement). The position is...",,,,,https://euraxess.ec.europa.eu/jobs/441835,False,
euraxess,441834,University of Arts Linz – Institute of Fine Arts and Cultural Studies – Vacancy for a Professor of ‘Curatorial Practice’ according to Section 99 (1) of the Austrian Universities Act (UG),Kunstuniversität Linz,,"Number of offers: 1, Austria, Kunstuniversität Linz, Linz, 4020, Hauptplatz 6",,,,,,,,2 June 202,2026-07-15,Other; Leading Researcher (R4); Not funded by a EU programme,research,The University of Arts Linz invites applications for a part-time position as University Professor of ‘Curatorial Practice’ at the Institute of Fine Arts and Cultural Studies starting on 1 September 2028 according to Section 99 (1) of the Austrian Universities Act (UG 2002). The employment rate is 37...,,,,,https://euraxess.ec.europa.eu/jobs/441834,False,
euraxess,441831,TECHNICIAN,IBIMA Plataforma BIONAND,,"Number of offers: 1, Spain, ibima, malaga",,,,,,,,2 June 202,2026-06-10,Medical sciences; Health sciences; Other Profession; Other EU programme,research,THE BIOMEDICAL RESEARCH INSTITUTE OF MÁLAGA NEEDS TO HIRE A PROFESSIONAL WITH THE FOLLOWING PROFILE: TECHNICIANReference: 2026/136Project: Multiple Sclerosis Research Line & Personalized Medicine in Neurology and New Therapeutic Perspectives Research Line.Research Line: IBIMA-C-01 NEUROIMMUNOLOGY...,,,,,https://euraxess.ec.europa.eu/jobs/441831,False,
