source,job_id,title,company,city,location_full,country,zip,salary_min,salary_max,salary_period,salary_currency,employment_type,date_posted,valid_through,tags,category,description,requirements,what_we_offer,contact_name,contact_email,url,direct_apply,remote
humancentrum,53214,Anyagmozgató,,Miskolc,,HU,3510,,,HOUR,HUF,TEMPORARY,2026-06-02,,,,"Anyagok szállítása a gyártó- vagy csomagolótérbe, sérülésmentes és azonosított módon A raktárból érkező anyagok átvétele, ellenőrzése és az átvétel dokumentálása Késztermékek és csomagolóanyagok előírás szerinti fóliázása, lezárása Anyagmozgató eszközök rendeltetésszerű használata, tisztítása és műszaki állapotuk ellenőrzése A munkaterület és rakodási zóna tisztán tartása, hulladékok szabályos kezelése A termékek azonosíthatóságának és mennyiségi megfelelőségének ellenőrzése Rendellenességek, eltérések, műszaki hibák észlelése és jelentése a műszakvezető felé Keresztszennyeződés elkerüléséhez szükséges intézkedések végrehajtása A napi munkavégzéshez kapcsolódó dokumentációk pontos vezetése, data integrity szabályok betartása Részvétel kötelező GMP, HSE és egyéb oktatásokon Együttműködés a műszakvezetővel és a termelési csapattal","Középfokú végzettség Targoncavezetői jogosítvány (3312, 3313, 3324) Nagyfokú precizitás és megbízhatóság","Versenyképes bérezés Piaci átlagnál magasabb cafeteria juttatás Határozott idejű szerződés év végéig Kollektív élet-, és balesetbiztosítás Éves egészségügyi szűrőprogram",,oboczki.eszter@minddiak.hu,https://humancentrum.hu/munkalehetoseg/53214,True,
humancentrum,53179,Takarító üdülőbe,,Ráckeve,,HU,2300,,,HOUR,HUF,TEMPORARY,2026-05-29,,,,"turnusváltáskor: szobák előkészítése (ágyneműcsere, minikonyha és szaniterek alapos takarítása), igény szerint kis mosások indítása, vasalás turnus közben, közös helyiségek tisztántartása, növények öntözése","precíz munkavégzés ha, nyugdíjas: öregségi nyugdíjat igazoló határozat alapfokú végzettség","bér: bruttó 2450 Ft/óra nyugdíjasként csak 15% SZJA kerül levonásra a bruttó bérből, járulékfizetési kötelezettség nincs",,kohalmi.mariann@minddiak.hu,https://humancentrum.hu/munkalehetoseg/53179,True,
humancentrum,53174,Betanított hegesztő,,Veszprém,,HU,8200,,,HOUR,HUF,TEMPORARY,2026-05-29,,,,"Betanított, egyszerűbb hegesztési feladatok elvégzése Sorozatgyártásban készülő termékek hegesztése Anyagmozgatás",Hegesztői végzettség vagy tapasztalat Megbízhatóság,Bruttó 500.000 Ft alapbér,,gyuracz.tibor@minddiak.hu,https://humancentrum.hu/munkalehetoseg/53174,True,
humancentrum,53171,Roncsolásmentes anyagvizsgáló,,Veresegyház,,HU,2112,,,HOUR,HUF,TEMPORARY,2026-05-28,,,,"Vizsgáló berendezések hitelesítésének figyelemmel kísérése Felülvizsgálati tevékenységek végrehajtása Dokumentációk ellenőrzése, amennyiben szükséges javítása Kollégák betanulásának segítése Vizsgálati eredmények igazolása","Minimum 1-es fokozatú anyagvizsgálói OKJ képesítés (Pl.: VT, PT, RT, UT, LT, ET, MT) Alapfokú számítástechnikai ismeretek Éles látás és jó olvasási készség","Alapbér + cafeteria a belépés napjától + műszakpótlék: délutáni 30%, éjszakai 50% + túlórapótlék: hétközi 50%, hétvégi 100% Hosszú távú munkalehetőség Kedvezményes melegétkezés Egészség-, élet-, és balesetbiztosítás Ingyenes céges buszjárat (Budapest - Pest megye - Heves megye) vagy utazási költségtérítés Túlóra kifizetése tárgyhavi bérrel történik ​Ajánlási bónusz",,balogh.zoltan@minddiak.hu,https://humancentrum.hu/munkalehetoseg/53171,True,
humancentrum,53170,Plazmaszóró gépkezelő,,Veresegyház,,HU,2112,,,HOUR,HUF,TEMPORARY,2026-05-28,,,,"Előkészíteni a bevonatolásokat a termékek maszkolásával, szemcseszórásával a használt technológiának megfelelően Bevonatolt termékek utómunkái, tisztítása Sikeres gépkezelői vizsga esetén gépek beállítása, működtetése, felügyelete, szükséges átállásokkal és ezzel járó szerelések Gépkezelői napi gépállapot ellenőrzése Függődaru és villástargonca kezelése","Gépi megmunkáló végzettség, ipari szakmunkás bizonyítvány","Alapbér + cafeteria a belépés napjától + műszakpótlék: délutáni 30%, éjszakai 50% + túlórapótlék: hétközi 50%, hétvégi 100% Hosszú távú munkalehetőség Kedvezményes melegétkezés Egészség-, élet-, és balesetbiztosítás Ingyenes céges buszjárat (Budapest - Pest megye - Heves megye) vagy utazási költségtérítés Túlóra kifizetése tárgyhavi bérrel történik ​Ajánlási bónusz",,balogh.zoltan@minddiak.hu,https://humancentrum.hu/munkalehetoseg/53170,True,
humancentrum,53155,"Targoncavezető, raktáros",,Pécs,,HU,7630,,,HOUR,HUF,TEMPORARY,2026-05-28,,,,"beérkező árú árvétele, címkézése és eltárolása anyagmozgatás tehergépkocsik le- és felrakodása targoncával termelés alapanyaggal, csomagolóanyaggal történő ellátása, tárolóeszközök előkészítése készáru elhelyezése napi leltározás és készletellenőrzés",oldal és homlokvillás targoncavezetői jogosítvány 8 általános iskolai végzettség,"br. 2280 Ft/óra 20.000 Ft/hó (részleghez kötött bónusz) br. 48.000 Ft cafeteria hosszú távú munkalehetőség, határozatlan idejű szerződéssel munkaruha és saját, zárható szekrény Ingyenes buszjárat az alábbi településekről Adorjás, Alsószentmárton, Beremend, Besence, Bogádmindszent, Bükkösd, Cún, Csányoszró, Cserdi, Drávafok, Drávaiványi, Drávaszabolcs, Felsőszentmárton, Gerde, Gilvánfa, Gordisa, Hegyszentmárton, Hobol, Kémes, Kétújfalu, Kistapolca, Kórós, Nagyharsány, Nagypeterd, Nagyváty, Old, Paprád, Pellérd, Sámod, Sellye, Siklós, Siklósbodony, Siklósnagyfalu, Szabadszentkirály, Szentlőrinc, Szigetvár, Teklafalu, Vajszló, Zádor Bejárás támogatás br. 500 Ft/munkanap térítés pécsi munkavállalóknak 18 Ft/km üzemanyagköltség-térítés 100% bérlettérítés",,miko.vivien@minddiak.hu,https://humancentrum.hu/munkalehetoseg/53155,True,
humancentrum,53145,Nyugdíjas bolti kisegítő,,Balatonszentgyörgy,,HU,8710,,,HOUR,HUF,TEMPORARY,2026-05-27,,,,Polcok feltöltése Vásárlók kiszolgálása Pénztárosi feladatok ellátása Bolt rendben tartása,Középfokú végzettség Precíz munkavégzés Öregségi nyugdíjat igazoló határozat,"Bruttó órabér: 2100 Ft/óra Nyugdíjasként csak 15% SZJA kerül levonásra a bruttó bérből, járulékfizetési kötelezettség nincs Könnyű fizikai munkalehetőség",,miko.eniko@minddiak.hu,https://humancentrum.hu/munkalehetoseg/53145,True,
humancentrum,53124,Raktári operátor,,Maklár,,HU,3397,,,HOUR,HUF,TEMPORARY,2026-05-26,,,,"Anyagmozgatás kézi és gépi erővel Alapanyag, készáru és göngyöleg előkészítése, csomagolása Termelőterületek kiszolgálása, komissiózás Bejövő áruk átvétele, raktározás","Érvényes, új típusú targoncavezetői engedély megléte Több műszakos, folyamatos munkarend vállalása Precizitás, megbízhatóság, pontos munkavégzés","Hosszú távú, biztos munkalehetőség stabil háttérrel Határozatlan idejű, teljes munkaidős munkaviszony Folyamatos munkakezdési lehetőség Versenyképes juttatási csomag: magas műszakpótlékok, SZÉP-kártya juttatások, teljesítmény alapú bónusz Széles körű dolgozói kedvezmények Ingyenes céges buszjárat Heves, Jász-Nagykun-Szolnok és Borsod-Abaúj-Zemplén megye több településéről Saját gépjármű használata esetén utazási költségtérítés Emberközpontú, támogató munkakörnyezet Pályakezdők jelentkezését is várjuk!",,eger@minddiak.hu,https://humancentrum.hu/munkalehetoseg/53124,True,
humancentrum,53095,Beszerző,,Böhönye,,HU,8719,,,HOUR,HUF,TEMPORARY,2026-05-21,,,,gyártásterv alapján alapanyagok rendelése készletgazdálkodás,"Szükséges gyakorlat: minimum 1 év Képzettség: legalább középfokú (felsőfokú) gazdasági-, logisztikai- vagy műszaki- végzettség IT ismeret: felhasználói szintű Nyelvismeret: magabiztos német és/vagy angol Egyéb elvárások: önálló, gyakorlatorientált","Bejelentett munkaviszony hosszú távon Igényes, modern, tiszta munkakörnyezet Bér: megegyezés szerint Jutalom/Ösztönző: belső szabályzat szerint, kb. egy - másfél havi fizetés évente, több részletben és jogcímen Utazási költségtérítés: gépkocsival 30 Ft/km vagy bérlet támogatás 86 %",,kohalmi.mariann@minddiak.hu,https://humancentrum.hu/munkalehetoseg/53095,True,
humancentrum,53066,AVI hegesztő (Németország),,Magyarország,,HU,xxxx,,,HOUR,HUF,TEMPORARY,2026-05-18,,,,"Hegesztés, a megadott specifikációk/méretek és utasítások alapján Hegesztő sablonok rendeltetésszerű használata Varratok előírás szerinti ellenőrzése, együttműködés a minőségbiztosítással A munka és tűzvédelmi előírások betartása, valamint a munkahelyi rend fenntartása A munkavégzéshez szükséges adminisztrációs feladatok elvégzése","Szakirányú hegesztői végzettség + tűzvédelmi szakvizsga (bizonyítvánnyal igazolva) Műszaki rajzolvasási ismeretek Önálló és pontos munkavégzés, terhelhetőség, flexibilitás Az előírt normaidőknek megfelelő teljesítmény elérése Kiutazást mindenki magának oldja meg, a költségek térítésre kerülnek","Bejelentett munkaviszony hosszú távon Kezdő bruttó bér 19 - 20 Eur/óra. Igényes, modern, tiszta munkakörnyezet Szállás és bejárás biztosítva",,kohalmi.mariann@minddiak.hu,https://humancentrum.hu/munkalehetoseg/53066,True,
humancentrum,53061,Villamos/Mechatronikai  kivitelező mérnök,,Esztergom,,HU,2500,,,HOUR,HUF,TEMPORARY,2026-05-18,,,,"Alvállalkozói ajánlatok műszaki értékelése és felülvizsgálata Kivitelezési tevékenységek önálló megszervezése és felügyelete villamos és ipari rendszerek megvalósítása során k megvalósítása során Helyszíni alvállalkozók irányítása és koordinálása, a tervek és minőségi elvárások betartásának biztosítása Folyamatos egyeztetés a megrendelővel és a japán mérnökcsapattal, műszaki kérdések kezelése A projekt során felmerülő operatív és műszaki problémák kezelése, közvetlen riportálás az ügyvezető felé Megrendelői igények kezelése, megfelelő műszaki megoldások kialakításának támogatása Projekt dokumentációk naprakészen tartása, különös tekintettel a kivitelezéshez kapcsolódó anyagokra A villamos rendszerek megvalósulási dokumentációjának elkészítése és átadása","Villamosmérnöki vagy mechatronikai mérnöki végzettség Minimum 3 év releváns tapasztalat villamos kivitelezésben, ipari környezetben Magabiztos műszaki szemlélet és önálló munkavégzés Jó szervező- és problémamegoldó készség MS Office magabiztos ismerete Magabiztos angol nyelvtudás szóban és írásban Proaktív, kezdeményező hozzáállás","Versenyképes bérezés Cégautó üzemanyag térítéssel Külföldi munkavégzés esetén teljes költségtérítés Szakmai fejlődési lehetőség, képzések támogatása Stabil, nemzetközi háttérrel rendelkező vállalat Hosszú távú munkalehetőség, változatos szakmai kihívások",,drevenka.henrietta@minddiak.hu,https://humancentrum.hu/munkalehetoseg/53061,True,
