source,job_id,title,company,city,location_full,country,zip,salary_min,salary_max,salary_period,salary_currency,employment_type,date_posted,valid_through,tags,category,description,requirements,what_we_offer,contact_name,contact_email,url,direct_apply,remote
melodiak,16197,Badacsonyi munkalehetőség,Meló-Diák,Badacsonytomaj-Badacsony,Badacsonytomaj-Badacsony,HU,,20002300,,HOUR,HUF,PART_TIME,,,,"Vendéglátás, gyorsétterem, idegenforgalom",,,,,,https://www.melodiak.hu/diakmunkak/badacsonyi-munkalehetoseg-16197,,
melodiak,16291,Pénztáros munkalehetőség révfülöpi kisboltban,Meló-Diák,Révfülöp,Révfülöp,HU,,2400,,HOUR,HUF,PART_TIME,,,,"Áruházi, bolti, eladói",,,,,,https://www.melodiak.hu/diakmunkak/penztaros-munkalehetoseg-revfulopi-kisboltban-16291,,
melodiak,16315,Balatonudvari árufeltöltő munkalehetőség,Meló-Diák,Balatonudvari,Balatonudvari,HU,,22003300,,HOUR,HUF,PART_TIME,,,,"Áruházi, bolti, eladói",,,,,,https://www.melodiak.hu/diakmunkak/balatonudvari-arufeltolto-munkalehetoseg-16315,,
melodiak,16316,Balatonalmádi árufeltöltő munkalehetőség,Meló-Diák,Balatonalmádi,Balatonalmádi,HU,,20003000,,HOUR,HUF,PART_TIME,,,,"Áruházi, bolti, eladói",,,,,,https://www.melodiak.hu/diakmunkak/balatonalmadi-arufeltolto-munkalehetoseg-16316,,
melodiak,16317,Balatonfüredi pénztáros munkalehetőség,Meló-Diák,Balatonfüred,Balatonfüred,HU,,22003300,,HOUR,HUF,PART_TIME,,,,"Áruházi, bolti, eladói",,,,,,https://www.melodiak.hu/diakmunkak/balatonfuredi-penztaros-munkalehetoseg-16317,,
melodiak,16320,Csopaki bolti munkalehetőség,Meló-Diák,Csopak,Csopak,HU,,22003300,,HOUR,HUF,PART_TIME,,,,"Áruházi, bolti, eladói",,,,,,https://www.melodiak.hu/diakmunkak/csopaki-bolti-munkalehetoseg-16320,,
melodiak,16339,Housekeeping munkalehetőség Csopakon,Meló-Diák,Csopak,Csopak,HU,,2300,,HOUR,HUF,PART_TIME,,,,"Fizikai, gyári, raktári",,,,,,https://www.melodiak.hu/diakmunkak/housekeeping-munkalehetoseg-csopakon-16339,,
melodiak,16370,Runner munkalehetőség Balatonkenesén,Meló-Diák,Balatonkenese,Balatonkenese,HU,,2000,,HOUR,HUF,PART_TIME,,,,"Vendéglátás, gyorsétterem, idegenforgalom",,,,,,https://www.melodiak.hu/diakmunkak/runner-munkalehetoseg-balatonkenesen-16370,,
melodiak,16377,Pincér munkalehetőség Balatonfüreden,Meló-Diák,Balatonfüred,Balatonfüred,HU,,2500,,HOUR,HUF,PART_TIME,,,,"Vendéglátás, gyorsétterem, idegenforgalom",,,,,,https://www.melodiak.hu/diakmunkak/pincer-munkalehetoseg-balatonfureden-16377,,
melodiak,16388,Futár munkalehetőség,Meló-Diák,Veszprém,Veszprém,HU,,24002760,,HOUR,HUF,PART_TIME,,,,"Fizikai, gyári, raktári",,,,,,https://www.melodiak.hu/diakmunkak/futar-munkalehetoseg-16388,,
melodiak,16389,Bolti eladó munkalehetőség,Meló-Diák,Veszprém,Veszprém,HU,,2200,,HOUR,HUF,PART_TIME,,,,"Áruházi, bolti, eladói",,,,,,https://www.melodiak.hu/diakmunkak/bolti-elado-munkalehetoseg-16389,,
melodiak,16404,Tihanyi bolti munkalehetőség,Meló-Diák,Tihany,Tihany,HU,,2200,,HOUR,HUF,PART_TIME,,,,"Áruházi, bolti, eladói",,,,,,https://www.melodiak.hu/diakmunkak/tihanyi-bolti-munkalehetoseg-16404,,
melodiak,16412,Jegykezelő munkalehetőség Zánkán,Meló-Diák,Zánka,Zánka,HU,,2000,,HOUR,HUF,PART_TIME,,,,"Fizikai, gyári, raktári",,,,,,https://www.melodiak.hu/diakmunkak/jegykezelo-munkalehetoseg-zankan-16412,,
melodiak,16434,Révfülöpi strandi büfés munkalehetőség,Meló-Diák,Révfülöp,Révfülöp,HU,,2200,,HOUR,HUF,PART_TIME,,,,"Vendéglátás, gyorsétterem, idegenforgalom",,,,,,https://www.melodiak.hu/diakmunkak/revfulopi-strandi-bufes-munkalehetoseg-16434,,
melodiak,14430,Balatoni vendéglátói munkalehetőség SZÁLLÁSSAL,Meló-Diák,Szigliget,Szigliget,HU,,22002530,,HOUR,HUF,PART_TIME,,,,"Vendéglátás, gyorsétterem, idegenforgalom",,,,,,https://www.melodiak.hu/diakmunkak/balatoni-vendeglatoi-munkalehetoseg-szallassal-14430,,
melodiak,16194,Áruházi munkalehetőség SZÁLLÁSSAL,Meló-Diák,Balatonfüred,Balatonfüred,HU,,214532175,,HOUR,HUF,PART_TIME,,,délutános munkák; éjszakás munkák,"Áruházi, bolti, eladói",,,,,,https://www.melodiak.hu/diakmunkak/aruhazi-munkalehetoseg-szallassal-16194,,
melodiak,16170,Csomagoló munkalehetőség akár heti 1-2 napban júniusi kezdéssel!,Meló-Diák,Veszprém,Veszprém,HU,,20003200,,HOUR,HUF,PART_TIME,,,18 alatt is végezhető munkák; alkalmi munkák,"Fizikai, gyári, raktári",Hétköznapokon akár heti 1 napban választható műszakkal. (Jövő héttől!),,,,,https://www.melodiak.hu/diakmunkak/csomagolo-munkalehetoseg-akar-heti-1-2-napban-juniusi-kezdessel-16170,,
