source,job_id,title,company,city,location_full,country,zip,salary_min,salary_max,salary_period,salary_currency,employment_type,date_posted,valid_through,tags,category,description,requirements,what_we_offer,contact_name,contact_email,url,direct_apply,remote
minddiak,53216,Irodai adminisztrációs munkatárs,,Érd,Tolmács utca 1.	,HU,2030,2300,,HOUR,HUF,TEMPORARY,2026-06-02,,,,"Dokumentum lista készítése Excel táblázatba Céges SharePoint felület kezelése és ebben való feladatok ellátása Papír alapú dokumentumok beszkennelése, lefűzése Oktatási jelenléti ívek előállítása, tesztek összegyűjtése és adminisztrálása",Aktív vagy passzív nappali tagozatos hallgatói jogviszony felsőfokú intézményben Felhasználói szintű MS Office ismeretek,Bruttó diákbér:2300 Ft/óra Lehetőség szakmai fejlődésre Hosszú távú diákmunka,,nagy.alexandra@minddiak.hu,https://minddiak.hu/diakmunka/53216,True,
minddiak,53215,Gyári előkészítő,,Kecskemét,Szent István körút 24.,HU,6000,1900,3800,HOUR,HUF,TEMPORARY,2026-06-02,,,,Műszerdobozok előszerelése festés előtt Munkadarabok ellenőrzése,Aktív vagy passzív nappali tagozatos tanulói/hallgatói jogviszony 18. életév betöltése,Bérezés bruttó 1900 Ft/óra 30% műszakpótlék 18:00-től 100% műszakpótlék munkaszüneti napokon Nyári diákmunka-lehetőség,,borbas.nora@minddiak.hu,https://minddiak.hu/diakmunka/53215,True,
minddiak,53213,Aero termeléstámogató mérnök gyakornok,,Veresegyház,Kisrét u. 1.,HU,2112,2700,,HOUR,HUF,TEMPORARY,2026-06-02,,,,Gyártási dokumentációk készítése Munkautasítások készítés Termelési adatok karbantartása Önálló projektek elvégzése Lean projektekben való részvétel 5S projektek vezetése Termelési mérnökség munkájának támogatása Termelési riportok frissítése,Nappali tagozatos hallgatói jogviszony Legalább középszintű angol nyelvtudás Haladó szintű MS Office használat,"Bruttó 2700 Ft/óra diákbér Ingyenes céges buszjárat és nettó 30 Ft/km üzemanyagtámogatás Rugalmas munkaidő a tanulmányaid mellett, figyelembevéve a frekventált tanulmányi időszakokat Aktív részvétel egy multinacionális vállalat és egy ezen belüli mérnökség munkájában Nemzetközi kapcsolatépítés, folyamatos kommunikáció tapasztalt, külföldi tervező mérnökökkel Részt vehetsz valós minőségügyi problémák kivizsgálásában és megoldásában Beilleszkedés egy fiatalos mérnökségi csapatba Csapatépítő programok Kedvezményes étkezés a cég éttermében Focipálya, szauna, squash, konditerem kedvezményes használata a gyár területén a megmaradt energia levezetésére Fejlődési és előrelépési lehetőség",,balogh.zoltan@minddiak.hu,https://minddiak.hu/diakmunka/53213,True,
minddiak,53212,Műszaki támogató asszisztens,,Vecsés,Dózsa György utca 86.,HU,2220,2550,,HOUR,HUF,TEMPORARY,2026-06-02,,,,Részvétel használt nyomdai ipari berendezések felújítási folyamatában (könnyű fizikai igénybevétellel) Mechanikai szerelési (csavarozási) feladatok elvégzése A nyomdai gépek alkatrészeinek – különösen koronák és transfer rollerek – felújításának támogatása A felújítási tevékenységekhez kapcsolódó adminisztratív feladatok ellátása a belső folyamatoknak megfelelően Együttműködés a kapcsolódó szakterületekkel,"Nappali tagozatos, aktív tanulói jogviszony (minimum 1 évig) Mechatronikai területen szerzett ismeretek vagy folyamatban lévő tanulmányok Műszaki érdeklődés, műszaki beállítódás MS office programok használata Önálló munkavégzés Pontosság, precizitás és határidők betartása","Bruttó 2.550 Ft-os órabér Multinacionális hátterű, de mégis családias hangulatú szervezet Vállalati rendezvények Magánegészségügyi ellátás biztosítása (Medicover) Professzionális, szakmai támogatás Szakmai gyakorlat leigazolása Hosszú távú diákmunka-lehetőség",,oboczki.eszter@minddiak.hu,https://minddiak.hu/diakmunka/53212,True,
minddiak,53211,Pénzügyi gyakornok,,Budapest,Boldizsár utca 2.,HU,1112,2200,,HOUR,HUF,TEMPORARY,2026-06-02,,,,Általános pénzügyi gyakornoki feladatok ellátása Bejövő számlák feldolgozása és rögzítése Pénzügyi elszámolások előkészítésének támogatása Senior könyvelő munkájának segítése Adminisztratív és irodai feladatok ellátása,"Nappali tagozatos aktív vagy 25 év alatti passzív hallgatói jogviszony Alap szintű számítógépes ismeretek (pl. Excel) Pontos, precíz munkavégzés Megbízhatóság és felelősségteljes hozzáállás Irodai jelenlét","Bruttó 2200 Ft/óra Hosszú távú diákmunka-lehetőség Gyakorlati tapasztalat szerzése egy dinamikus környezetben Lehetőség a szakmai fejlődésre és új készségek elsajátítására Rugalmas munkaidő, amely igazodik a tanulmányokhoz Barátságos és támogató munkakörnyezet",,barczikay.reka@minddiak.hu,https://minddiak.hu/diakmunka/53211,True,
minddiak,53210,Gyorséttermi kisegítő élményfürdőben,,Budapest IV.,Íves út 16.,HU,1044,2150,,HOUR,HUF,TEMPORARY,2026-06-02,,,,"Az étterem munkájának támogatása, előkészületekben való segédkezés Büfé vacsora kiszolgálásának támogatása Ételek mozgatása Büfépult töltése",Aktív vagy passzív nappali tagozatos tanulói/hallgatói jogviszony Betöltött 17. életév,"Bruttó 2150 Ft/óra diákbér Amíg nem vagy 25 éves, SZJA mentességre lehetsz jogosult, így a nettó órabéred is 2150 Ft lesz Hosszú távú diákmunka  Napi egyszeri melegétel biztosítása",,remenyi.kalman@minddiak.hu,https://minddiak.hu/diakmunka/53210,True,
minddiak,53209,Pénztáros,,Miskolc,Szentpéteri kapu 103.,HU,3530,2100,3261,HOUR,HUF,TEMPORARY,2026-06-02,,,,"Pénztárosi feladatok ellátása Vevők és ügyfelek tájékoztatása az aktuális akciókról, kedvezményekről","Nappali tagozatos aktív  vagy  passzív  tanulói/hallgatói jogviszony  Érvényes  egészségügyi kiskönyv (érvényes tüdőszűrő, orvosi igazolás-fertőző betegségtől mentes) Jó kommunikációs készség Precíz munkavégzés 18. betöltött életév","Bruttó 2.100-3.261 Ft/óra Amíg nem vagy még 25 éves szja-mentességre lehetsz jogosult, így a bruttó béred, egyben nettó béred is lesz az adómentesség határáig Hosszú távú diákmunka",,nagy.annamaria@minddiak.hu,https://minddiak.hu/diakmunka/53209,True,
minddiak,53206,Customer Service Representative Intern,,Szeged,Kossuth Lajos sgt. 72/D,HU,6724,2145,,HOUR,HUF,TEMPORARY,2026-06-02,,,,"Execute day-to-day Customer service-related operational tasks to meet and exceed Customer expectations, consistently achieving established process performance indicators and adhering to applicable service level agreements. Leverage a deep urderstanding of end-to-end processes and systems specific to the role to deliver accurate and effincent service. Interact with external and internal Customers in a professional, empathetic, and efficient manner, ensuring their needs and are met promptly. Proactively follow-up ith Sales and Customers on pending activities, achieving timely resolution and maintaining open communication channels. Ensure an effortless and quality Customer experience by identifying and resolving issues effectively, fostering customer loyalty. Manage and align Stakeholder expectations with pre-established servic level agreements, providing clear and transparent updates.",Ongoing studies and active Hungarian student status for at least 6 more months.  English and Hungarian knowledge on a high level both written and verbal. Exellent written communication skills and ability to build effective orking relationships. Strong understanding of Customers needs / behaviors.,"2145 Ft/hr in gross. Internship community, team building events. Possibility to join their social communities and networks. Chill-out and collaboration spaces in a modern office environment. Partly home-office position.",,bito.szilvia@minddiak.hu,https://minddiak.hu/diakmunka/53206,True,
minddiak,53205,Junior B2B kapcsolattartó és projektmenedzser,,Országos,,HU,xxxx,2200,,HOUR,HUF,TEMPORARY,2026-06-02,,,,"Kontaktkutatás adatbázisok és LinkedIn alapján Emailes és telefonos kapcsolattartás a leendő interjúalanyokkal Interjú témák leegyeztetése, szükséges információk bekérése a partnerektől Videós interjúk időpontjainak rögzítése naptárba Telefonos elégedettségi felmérés készítése, az interjún részt vett cégvezetőkkel Interjúra épülő marketingcsomagok kiajánlása",Aktív vagy passzív nappali tagozatos hallgatói jogviszony Kiemelkedő kommunikációs képesség Értékesítési affinitás Középfokú angol nyelvtudás írásban és szóban Social rendszerek rutinos használata,Bruttó 2200 Ft/óra + kimagasló jutalék minden általad sikeresen lezárt (eladott) csomag után Hosszú távú diákmunka-lehetőség Szakmai fejlődési lehetőség diákmunka keretein belül Teljes home office lehetőség,,borbas.nora@minddiak.hu,https://minddiak.hu/diakmunka/53205,True,
minddiak,53204,HR gyakornok,,Budapest X.,Maglódi út 20.,HU,1108,2300,,HOUR,HUF,TEMPORARY,2026-06-02,,,,"Fizikai munkavállalók toborzásban való aktív részvétel: beérkező pályázatok kezelése, telefonos előszűrések, interjúidőpontok egyeztetése, interjúztatás Beléptetés, kiléptetés adminisztratív támogatása Belépő oktatások megtartása Kapcsolattartás HR szolgáltatókkal (kölcsönző, közvetítő cégek) Munkaszerződések, módosítások elkészítésének támogatása Adatbázisok kezelése, HR dokumentumok kezelése, lefűzése Egyéb HR adminisztrációs feladatok ellátása HR csapat munkájának támogatása",Aktív vagy passzív nappali tagozatos hallgatói jogviszony felsőoktatási intézményben preferáltan HR területen Hátralévő min. 1 év hallgatói jogviszony Középfokú angol nyelvtudás Felhasználói szintű MS Excel ismeret,Bruttó bér: 2300 Ft/óra Szakmai fejlődési lehetőség Segítségnyújtás a szakdolgozat megírásában Hosszú távú diákmunka-lehetőség,,nagy.alexandra@minddiak.hu,https://minddiak.hu/diakmunka/53204,True,
