source,job_id,title,company,city,location_full,country,zip,salary_min,salary_max,salary_period,salary_currency,employment_type,date_posted,valid_through,tags,category,description,requirements,what_we_offer,contact_name,contact_email,url,direct_apply,remote
multijob,4175,Kockázatkezelési gyakornok,Multi Job Iskolaszövetkezet,,,HU,,2350,2350,HOUR,HUF,TEMPORARY,,,,,"Szeretnél betekinteni abba, hogyan működik a kockázatkezelés és a fejlesztési folyamatok támogatása egy üzleti környezetben? Jelentkezz most gyakornoknak fix, 3 hónapos időszakra! 
 Feladatok: 
 
 
 Meetingek szervezése és üzleti fejlesztési igények támogatása 
 Fejlesztési kérések rögzítése, követése és kapcsolódó dokumentációk kezelése 
 Rendszerfejlesztési és folyamatautomatizálási javaslatok készítése 
 Oktatóanyagok, videók és felhasználói dokumentációk készítése 
 Adatellenőrzési, hibakeresési és riportkészítési feladatok támogatása 
 
 További feltételek: 
 
 gazdasági vagy gazdaságinformatikus tanulmányok 
 mielőbbi kezdés és a 3 hónap vállalása 
 precíz, pontos munkavégzés 
 
 
 
 
 
 Jelentkezés 
 
 
 
 
 Jelentkezés a munkára 
 
 
 
 
 A munkára jelentkezéshez egy gyors regisztrációra van szükség. Ha még nem vagy tagunk, akkor a szövetkezethez történő regisztrációt is el tudod kezdeni a belépés után. 
 FONTOS! Az oldal regisztráció nem azonos a szövetkezetbe történő regisztrációval! 
 Regisztráció",,,,bootstrap-select@1.14,https://multijobisz.hu/munkak/4175-kockazatkezelesi-gyakornok-diakmunka-budapest-xiii-kerulet,True,
multijob,4175,Kockázatkezelési gyakornok,Multi Job Iskolaszövetkezet,,,HU,,2350,2350,HOUR,HUF,TEMPORARY,,,,,"Szeretnél betekinteni abba, hogyan működik a kockázatkezelés és a fejlesztési folyamatok támogatása egy üzleti környezetben? Jelentkezz most gyakornoknak fix, 3 hónapos időszakra! 
 Feladatok: 
 
 
 Meetingek szervezése és üzleti fejlesztési igények támogatása 
 Fejlesztési kérések rögzítése, követése és kapcsolódó dokumentációk kezelése 
 Rendszerfejlesztési és folyamatautomatizálási javaslatok készítése 
 Oktatóanyagok, videók és felhasználói dokumentációk készítése 
 Adatellenőrzési, hibakeresési és riportkészítési feladatok támogatása 
 
 További feltételek: 
 
 gazdasági vagy gazdaságinformatikus tanulmányok 
 mielőbbi kezdés és a 3 hónap vállalása 
 precíz, pontos munkavégzés 
 
 
 
 
 
 Jelentkezés 
 
 
 
 
 Jelentkezés a munkára 
 
 
 
 
 A munkára jelentkezéshez egy gyors regisztrációra van szükség. Ha még nem vagy tagunk, akkor a szövetkezethez történő regisztrációt is el tudod kezdeni a belépés után. 
 FONTOS! Az oldal regisztráció nem azonos a szövetkezetbe történő regisztrációval! 
 Regisztráció",,,,bootstrap-select@1.14,https://multijobisz.hu/munkak/4175-kockazatkezelesi-gyakornok-diakmunka-budapest-xiii-kerulet,True,
multijob,4173,HR gyakornok,Multi Job Iskolaszövetkezet,,,HU,,2300,2300,HOUR,HUF,TEMPORARY,,,,,"Érdekel a HR világa vállalati oldalon, és szívesen szereznél tapasztalatot az ország egyik piacvezető ételrendeléssel foglalkozó vállalatánál? Pörgős, változatos és kihívásokkal teli feladatok várnak egy családias, fiatalos munkakörnyezetben.
 Jelentkezz HR gyakornoki pozícióra! 
 
 Feladatok: 
 
 
 Munkavállalók személyi anyagának naprakészen tartása  
 Általános, munkavállalókhoz kapcsolódó adminisztrációs feladatok 
 Kapcsolattartás a diákszövetkezettel, diák jelenléti ívek kezelése  
 Részvétel különböző HR projektekben  
 Angol nyelvű HR anyagok fordítása  
 HR kommunikációk megírása, prezentációk készítése  
 Általános adminisztrációs feladatok  
 A HR csapat támogatása egyéb feladatokban 
 
 
 
 További feltételek: 
 
 
 Folyamatban lévő szakirányú tanulmányok (HR / pszichológia / vezetés és szervezés / Kommunikáció / egyéb gazdasági szakokon)   
 Jó kommunikációs készség  
 Stabil angol nyelvtudás (írásban és szóban is)  
 Precizitás, kreativitás  
 Udvarias, empatikus, kedves jellem  
 Proaktív munkastílus  
 
 
 
 Juttatások: 
 
 
 Fiatalos, támogató csapat, mentorálás gyakornokoknak 
 Szakdolgozati támogatás, szakmai gyakorlat igazolása 
 LinkedIn Learning hozzáférés több ezer kurzussal 
 Modern, kutyabarát iroda (Haller Gardens), könnyű megközelítés 
 Foodora kuponok és PRO előfizetés 
 Munkához szükséges eszközök biztosítása (laptop, mobiltelefon stb.) 
 
 
 
 
 
 Jelentkezés 
 
 
 
 
 Jelentkezés a munkára 
 
 
 
 
 A munkára jelentkezéshez egy gyors regisztrációra van szükség. Ha még nem vagy tagunk, akkor a szövetkezethez történő regisztrációt is el tudod kezdeni a belépés után. 
 FONTOS! Az oldal regisztráció nem azonos a szövetkezetbe történő regisztrációval! 
 Regisztráció",,,,bootstrap-select@1.14,https://multijobisz.hu/munkak/4173-hr-gyakornok-diakmunka-budapest-ix-kerulet,True,
multijob,4173,HR gyakornok,Multi Job Iskolaszövetkezet,,,HU,,2300,2300,HOUR,HUF,TEMPORARY,,,,,"Érdekel a HR világa vállalati oldalon, és szívesen szereznél tapasztalatot az ország egyik piacvezető ételrendeléssel foglalkozó vállalatánál? Pörgős, változatos és kihívásokkal teli feladatok várnak egy családias, fiatalos munkakörnyezetben.
 Jelentkezz HR gyakornoki pozícióra! 
 
 Feladatok: 
 
 
 Munkavállalók személyi anyagának naprakészen tartása  
 Általános, munkavállalókhoz kapcsolódó adminisztrációs feladatok 
 Kapcsolattartás a diákszövetkezettel, diák jelenléti ívek kezelése  
 Részvétel különböző HR projektekben  
 Angol nyelvű HR anyagok fordítása  
 HR kommunikációk megírása, prezentációk készítése  
 Általános adminisztrációs feladatok  
 A HR csapat támogatása egyéb feladatokban 
 
 
 
 További feltételek: 
 
 
 Folyamatban lévő szakirányú tanulmányok (HR / pszichológia / vezetés és szervezés / Kommunikáció / egyéb gazdasági szakokon)   
 Jó kommunikációs készség  
 Stabil angol nyelvtudás (írásban és szóban is)  
 Precizitás, kreativitás  
 Udvarias, empatikus, kedves jellem  
 Proaktív munkastílus  
 
 
 
 Juttatások: 
 
 
 Fiatalos, támogató csapat, mentorálás gyakornokoknak 
 Szakdolgozati támogatás, szakmai gyakorlat igazolása 
 LinkedIn Learning hozzáférés több ezer kurzussal 
 Modern, kutyabarát iroda (Haller Gardens), könnyű megközelítés 
 Foodora kuponok és PRO előfizetés 
 Munkához szükséges eszközök biztosítása (laptop, mobiltelefon stb.) 
 
 
 
 
 
 Jelentkezés 
 
 
 
 
 Jelentkezés a munkára 
 
 
 
 
 A munkára jelentkezéshez egy gyors regisztrációra van szükség. Ha még nem vagy tagunk, akkor a szövetkezethez történő regisztrációt is el tudod kezdeni a belépés után. 
 FONTOS! Az oldal regisztráció nem azonos a szövetkezetbe történő regisztrációval! 
 Regisztráció",,,,bootstrap-select@1.14,https://multijobisz.hu/munkak/4173-hr-gyakornok-diakmunka-budapest-ix-kerulet,True,
multijob,4170,Műhelytechnikus - kerékpár,Multi Job Iskolaszövetkezet,,,HU,,1856,1856,HOUR,HUF,TEMPORARY,,,,,"Szereted a bringákat? Nem riadsz vissza egy csavarkulcstól? Akkor olvass tovább, mert téged keresünk!  
 
 A Decathlon regionális műhelyébe műszaki érdeklődésű diákokat keresün k, akik szívesen dolgoznának biciklik között, egy jófej csapatban.  
 
   
 Feladatok:  
 
 kerékpárok összeszerelése, karbantartásában való aktív részvétel  
 alkatrészek előkészítése, pakolás  
 termékek átvizsgálása és javításában való segítségnyújtás  
 rendrakás a műhelyben  
 
   
 További feltételek:   
 
 érdekel a műszaki világ, szeretsz bütykölni  
 önálló, precíz, felelősségteljes munkavégzés  
 szabálykövetés, biztonságra való törekvés  
 tanulási hajlandóság  
 tapasztalat szükséges: javítás, karbantartás, diagnosztika 
 
   
 Amit kínálunk:  
 
 rugalmas, diákbarát munkarend  
 valódi gyakorlati tapasztalat a műszaki területen  
 segítőkész csapat, betanítás  
 hosszabb távú munkalehetőség tanulmányaid mellett  
 
 
 
 
 
 Jelentkezés 
 
 
 
 
 Jelentkezés a munkára 
 
 
 
 
 A munkára jelentkezéshez egy gyors regisztrációra van szükség. Ha még nem vagy tagunk, akkor a szövetkezethez történő regisztrációt is el tudod kezdeni a belépés után. 
 FONTOS! Az oldal regisztráció nem azonos a szövetkezetbe történő regisztrációval! 
 Regisztráció",,"var offerSiteId = 4170;
 function asd() {
 var display = document.getElementById(""addmoresite"");
 var addmorebutton = document.getElementById(""addmorebutton"");
 display.style.display = 'inline';
 addmorebutton.style.display = 'none';
 }
 $().ready(function () {
 $('#offerSiteLink').on('click', function () {
 asd();
 });
 });

 $(document).ready(function () {
 var isFavorite = !false;
 $('.fav_4170').on('click', function () {
 var isAuthenticated = false;
 var isCompany = true;
 if (isAuthenticated === false) {
 $('#favoriteModal').modal('show');
 }
 else if (isCompany === true) {
 $('#companyModal').modal('show');
 }
 else {
 isFavorite = !isFavorite;
 $.ajax({
 url: '/Offer/SwitchFavoriteStatus',
 type: 'POST',
 contentType: 'application/json',
 data: JSON.stringify({ offersiteId: 4170 }),
 success: function (response) {
 if (response.success) {
 updateFavoriteDesign($('.fav_4170'), isFavorite);
 } else {
 alert('Hiba a kedvencekhez adás közben');
 }
 },
 error: function () {
 alert('Hiba');
 }
 });
 }
 });
 });

 var heartActiveIconSrc = ""~/Frontend/Images/Icons/offer-card-heart-active.svg"";

 function updateFavoriteDesign(div, isFavorite) {
 if (isFavorite) {
 div.html(`
 `);
 } else {
 div.html(`
 `);
 }
 }
 
 
 
 
 
 @media (min-width: 1400px) {
 #navigation {
 flex-wrap: nowrap !important;
 }

 #navigation #navbarNavDropdown > ul.navbar-nav,
 #navigation #navbarNavDropdown > ul.navbar-nav > li,
 #navigation #navbarNavDropdown .nav-link {
 white-space: nowrap !important;
 }
 }
 
 
 @media(max-width:767px) {
 .UseMobileViewFullHeightFadeBGImage { height: 100%; mask-image: linear-gradient(to bottom, black 0%, transparent 100%); }
 }
 
 
 .anchor {
 display: block;
 height: 200px;
 margin-top: -200px;
 visibility: hidden;
 }

 @media (max-width:768px) {
 #OfferName {
 font-weight: 700 !important;
 font-size: 24px !important;
 line-height: 26px !important;
 }
 }
 
 
 .bottom-right-image {
 position: fixed;
 bottom: 0;
 right: 0;
 z-index: 9999;
 max-width: 220px;
 height: auto;
 }",,bootstrap-select@1.14,https://multijobisz.hu/munkak/4170-muhelytechnikus-kerekpar-diakmunka-hatvan,True,
multijob,4170,Műhelytechnikus - kerékpár,Multi Job Iskolaszövetkezet,,,HU,,1856,1856,HOUR,HUF,TEMPORARY,,,,,"Szereted a bringákat? Nem riadsz vissza egy csavarkulcstól? Akkor olvass tovább, mert téged keresünk!  
 
 A Decathlon regionális műhelyébe műszaki érdeklődésű diákokat keresün k, akik szívesen dolgoznának biciklik között, egy jófej csapatban.  
 
   
 Feladatok:  
 
 kerékpárok összeszerelése, karbantartásában való aktív részvétel  
 alkatrészek előkészítése, pakolás  
 termékek átvizsgálása és javításában való segítségnyújtás  
 rendrakás a műhelyben  
 
   
 További feltételek:   
 
 érdekel a műszaki világ, szeretsz bütykölni  
 önálló, precíz, felelősségteljes munkavégzés  
 szabálykövetés, biztonságra való törekvés  
 tanulási hajlandóság  
 tapasztalat szükséges: javítás, karbantartás, diagnosztika 
 
   
 Amit kínálunk:  
 
 rugalmas, diákbarát munkarend  
 valódi gyakorlati tapasztalat a műszaki területen  
 segítőkész csapat, betanítás  
 hosszabb távú munkalehetőség tanulmányaid mellett  
 
 
 
 
 
 Jelentkezés 
 
 
 
 
 Jelentkezés a munkára 
 
 
 
 
 A munkára jelentkezéshez egy gyors regisztrációra van szükség. Ha még nem vagy tagunk, akkor a szövetkezethez történő regisztrációt is el tudod kezdeni a belépés után. 
 FONTOS! Az oldal regisztráció nem azonos a szövetkezetbe történő regisztrációval! 
 Regisztráció",,"var offerSiteId = 4170;
 function asd() {
 var display = document.getElementById(""addmoresite"");
 var addmorebutton = document.getElementById(""addmorebutton"");
 display.style.display = 'inline';
 addmorebutton.style.display = 'none';
 }
 $().ready(function () {
 $('#offerSiteLink').on('click', function () {
 asd();
 });
 });

 $(document).ready(function () {
 var isFavorite = !false;
 $('.fav_4170').on('click', function () {
 var isAuthenticated = false;
 var isCompany = true;
 if (isAuthenticated === false) {
 $('#favoriteModal').modal('show');
 }
 else if (isCompany === true) {
 $('#companyModal').modal('show');
 }
 else {
 isFavorite = !isFavorite;
 $.ajax({
 url: '/Offer/SwitchFavoriteStatus',
 type: 'POST',
 contentType: 'application/json',
 data: JSON.stringify({ offersiteId: 4170 }),
 success: function (response) {
 if (response.success) {
 updateFavoriteDesign($('.fav_4170'), isFavorite);
 } else {
 alert('Hiba a kedvencekhez adás közben');
 }
 },
 error: function () {
 alert('Hiba');
 }
 });
 }
 });
 });

 var heartActiveIconSrc = ""~/Frontend/Images/Icons/offer-card-heart-active.svg"";

 function updateFavoriteDesign(div, isFavorite) {
 if (isFavorite) {
 div.html(`
 `);
 } else {
 div.html(`
 `);
 }
 }
 
 
 
 
 
 @media (min-width: 1400px) {
 #navigation {
 flex-wrap: nowrap !important;
 }

 #navigation #navbarNavDropdown > ul.navbar-nav,
 #navigation #navbarNavDropdown > ul.navbar-nav > li,
 #navigation #navbarNavDropdown .nav-link {
 white-space: nowrap !important;
 }
 }
 
 
 @media(max-width:767px) {
 .UseMobileViewFullHeightFadeBGImage { height: 100%; mask-image: linear-gradient(to bottom, black 0%, transparent 100%); }
 }
 
 
 .anchor {
 display: block;
 height: 200px;
 margin-top: -200px;
 visibility: hidden;
 }

 @media (max-width:768px) {
 #OfferName {
 font-weight: 700 !important;
 font-size: 24px !important;
 line-height: 26px !important;
 }
 }
 
 
 .bottom-right-image {
 position: fixed;
 bottom: 0;
 right: 0;
 z-index: 9999;
 max-width: 220px;
 height: auto;
 }",,bootstrap-select@1.14,https://multijobisz.hu/munkak/4170-muhelytechnikus-kerekpar-diakmunka-hatvan,True,
multijob,4164,Konyhai kisegítő,Multi Job Iskolaszövetkezet,,,HU,,2100,2100,HOUR,HUF,TEMPORARY,,,,,"Dolgozz nyáron a Balatonnál, akár a barátaiddal együtt! 
 Siófokra keresünk diákokat 
 konyhai kisegítő pozícióba – pörgős munka, jó hangulat, balatoni nyár és biztos kereseti lehetőség vár!
 
 Feladatok: 
 
 Alapanyagok előkészítése 
 Mosogatás, edények és eszközök rendszerezése 
 Szakácsok munkájának támogatása a napi feladatok során 
 Alapanyagok pakolása, raktározása 
 
 
 További feltételek: 
 
 
 Alapvető konyhai tapasztalat előny, de nem feltétel 
 Terhelhetőség és megbízhatóság 
 Teljes nyár vállalása (június 15-től augusztus 30-ig) 
   Angol/német nyelvtudás előnyt jelent 
 
 
 
 
 
 
 
 
 Jelentkezés 
 
 
 
 
 Jelentkezés a munkára 
 
 
 
 
 A munkára jelentkezéshez egy gyors regisztrációra van szükség. Ha még nem vagy tagunk, akkor a szövetkezethez történő regisztrációt is el tudod kezdeni a belépés után. 
 FONTOS! Az oldal regisztráció nem azonos a szövetkezetbe történő regisztrációval! 
 Regisztráció",,,,bootstrap-select@1.14,https://multijobisz.hu/munkak/4164-konyhai-kisegito-diakmunka-siofok,True,
multijob,4164,Konyhai kisegítő,Multi Job Iskolaszövetkezet,,,HU,,2100,2100,HOUR,HUF,TEMPORARY,,,,,"Dolgozz nyáron a Balatonnál, akár a barátaiddal együtt! 
 Siófokra keresünk diákokat 
 konyhai kisegítő pozícióba – pörgős munka, jó hangulat, balatoni nyár és biztos kereseti lehetőség vár!
 
 Feladatok: 
 
 Alapanyagok előkészítése 
 Mosogatás, edények és eszközök rendszerezése 
 Szakácsok munkájának támogatása a napi feladatok során 
 Alapanyagok pakolása, raktározása 
 
 
 További feltételek: 
 
 
 Alapvető konyhai tapasztalat előny, de nem feltétel 
 Terhelhetőség és megbízhatóság 
 Teljes nyár vállalása (június 15-től augusztus 30-ig) 
   Angol/német nyelvtudás előnyt jelent 
 
 
 
 
 
 
 
 
 Jelentkezés 
 
 
 
 
 Jelentkezés a munkára 
 
 
 
 
 A munkára jelentkezéshez egy gyors regisztrációra van szükség. Ha még nem vagy tagunk, akkor a szövetkezethez történő regisztrációt is el tudod kezdeni a belépés után. 
 FONTOS! Az oldal regisztráció nem azonos a szövetkezetbe történő regisztrációval! 
 Regisztráció",,,,bootstrap-select@1.14,https://multijobisz.hu/munkak/4164-konyhai-kisegito-diakmunka-siofok,True,
multijob,4160,Runner kisegítő - Time Out Market,Multi Job Iskolaszövetkezet,,,HU,,2300,2300,HOUR,HUF,TEMPORARY,,,,,"A 
 Time Out Market Budapest csapatába keresünk energikus és megbízható diákokat Runner pozícióba! Ha szeretsz pörgős környezetben dolgozni, jól bírod a fizikai munkát, és szívesen lennél egy nemzetközi hangulatú vendéglátóhely része, jelentkezz még ma!
 
 
 Feladatok: 
 
 Mosatlan poharak és edények összeszedése 
 Asztalok leszedése és letakarítása 
 Konyhák igényei szerinti feltöltésben való segédkezés 
 
 
 További feltételek: 
 
 Terhelhetőség és gyors munkavégzés 
 Egész napos állómunka vállalása 
 Hétvégi és késő esti műszak vállalása 
 Csapatban való együttműködés 
 
 
 
 
 
 
 Jelentkezés 
 
 
 
 
 Jelentkezés a munkára 
 
 
 
 
 A munkára jelentkezéshez egy gyors regisztrációra van szükség. Ha még nem vagy tagunk, akkor a szövetkezethez történő regisztrációt is el tudod kezdeni a belépés után. 
 FONTOS! Az oldal regisztráció nem azonos a szövetkezetbe történő regisztrációval! 
 Regisztráció",,,,bootstrap-select@1.14,https://multijobisz.hu/munkak/4160-runner-kisegito-diakmunka-budapest-viii-kerulet,True,
multijob,4160,Runner kisegítő - Time Out Market,Multi Job Iskolaszövetkezet,,,HU,,2300,2300,HOUR,HUF,TEMPORARY,,,,,"A 
 Time Out Market Budapest csapatába keresünk energikus és megbízható diákokat Runner pozícióba! Ha szeretsz pörgős környezetben dolgozni, jól bírod a fizikai munkát, és szívesen lennél egy nemzetközi hangulatú vendéglátóhely része, jelentkezz még ma!
 
 
 Feladatok: 
 
 Mosatlan poharak és edények összeszedése 
 Asztalok leszedése és letakarítása 
 Konyhák igényei szerinti feltöltésben való segédkezés 
 
 
 További feltételek: 
 
 Terhelhetőség és gyors munkavégzés 
 Egész napos állómunka vállalása 
 Hétvégi és késő esti műszak vállalása 
 Csapatban való együttműködés 
 
 
 
 
 
 
 Jelentkezés 
 
 
 
 
 Jelentkezés a munkára 
 
 
 
 
 A munkára jelentkezéshez egy gyors regisztrációra van szükség. Ha még nem vagy tagunk, akkor a szövetkezethez történő regisztrációt is el tudod kezdeni a belépés után. 
 FONTOS! Az oldal regisztráció nem azonos a szövetkezetbe történő regisztrációval! 
 Regisztráció",,,,bootstrap-select@1.14,https://multijobisz.hu/munkak/4160-runner-kisegito-diakmunka-budapest-viii-kerulet,True,
