source,job_id,title,company,city,location_full,country,zip,salary_min,salary_max,salary_period,salary_currency,employment_type,date_posted,valid_through,tags,category,description,requirements,what_we_offer,contact_name,contact_email,url,direct_apply,remote
nofluffjobs,senior-business-analyst-m-f-d-fis-cross-asset-trading-and-risk-platform-german-speaking-x1f-Budapest,Senior Business Analyst (m/f/d) - FIS Cross Asset Trading and Risk Platform / German speaking,x1F,Budapest,Budapest,HU,,1800000.0,1920000.0,MONTH,HUF,FULL_TIME,2026-05-18,,values,businessAnalyst,,,,,,https://nofluffjobs.com/hu/job/senior-business-analyst-m-f-d-fis-cross-asset-trading-and-risk-platform-german-speaking-x1f-budapest,,False
nofluffjobs,senior-specialist-sap-fs-cd-m-f-d-german-speaking-x1f-Budapest,Senior Specialist SAP FS-CD (m/f/d) – German speaking,x1F,Budapest,Budapest,HU,,3750.0,5000.0,MONTH,EUR,FULL_TIME,2026-05-27,,values,erp,,,,,,https://nofluffjobs.com/hu/job/senior-specialist-sap-fs-cd-m-f-d-german-speaking-x1f-budapest,,False
nofluffjobs,senior-sap-basis-consultant-m-f-d-german-speaking-x1f-Budapest,Senior SAP Basis Consultant (m/f/d) – German speaking,x1F,Budapest,Budapest,HU,,3333,4750.0,MONTH,EUR,FULL_TIME,2026-05-18,,values,sysAdministrator,,,,,,https://nofluffjobs.com/hu/job/senior-sap-basis-consultant-m-f-d-german-speaking-x1f-budapest,,False
nofluffjobs,head-of-engineering-fox-hr-consulting-kft--Budapest,Head of Engineering,Fox HR Consulting Kft.,Budapest,Budapest,HU,,2500000.0,4000000.0,MONTH,HUF,FULL_TIME,2026-05-07,,values,productManagement,,,,,,https://nofluffjobs.com/hu/job/head-of-engineering-fox-hr-consulting-kft--budapest,,False
nofluffjobs,senior-software-developer-m-f-d-fis-cross-asset-trading-and-risk-platform-german-speaking-x1f-Budapest,Senior Software Developer (m/f/d) – FIS Cross Asset Trading and Risk Platform / German speaking,x1F,Budapest,Budapest,HU,,1800000.0,1920000.0,MONTH,HUF,FULL_TIME,2026-05-18,,values,backend,,,,,,https://nofluffjobs.com/hu/job/senior-software-developer-m-f-d-fis-cross-asset-trading-and-risk-platform-german-speaking-x1f-budapest,,False
nofluffjobs,senior-specialist-sap-application-management-logistics-german-speaking-x1f-Budapest,Senior Specialist SAP Application Management Logistics – German speaking,x1F,Budapest,Budapest,HU,,791666,916666,MONTH,HUF,FULL_TIME,2026-05-27,,values,erp,,,,,,https://nofluffjobs.com/hu/job/senior-specialist-sap-application-management-logistics-german-speaking-x1f-budapest,,False
nofluffjobs,senior-mainframe-developer-cobol-pl-i-jcl-db2-cics-ims-x1f-Budapest,"Senior Mainframe Developer (COBOL, PL/I, JCL, DB2, CICS, IMS)",x1F,Budapest,Budapest,HU,,1337000.0,2293000.0,MONTH,HUF,FULL_TIME,2026-05-18,,values,backend,,,,,,https://nofluffjobs.com/hu/job/senior-mainframe-developer-cobol-pl-i-jcl-db2-cics-ims-x1f-budapest,,False
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-Remote,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-bacs-kiskun,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-bacs-kiskun,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-baranya,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-baranya,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-bekes,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-bekes,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-borsod-abauj-zemplen,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-borsod-abauj-zemplen,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-csongrad,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-csongrad,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-fejer,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-fejer,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-gyor-moson-sopron,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-gyor-moson-sopron,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-hajdu-bihar,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-hajdu-bihar,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-heves,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-heves,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-jasz-nagykun-szolnok,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-jasz-nagykun-szolnok,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-komarom-esztergom,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-komarom-esztergom,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-nograd,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-nograd,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-pest,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-pest,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-somogy,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-somogy,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-szabolcs-szatmar-bereg,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-szabolcs-szatmar-bereg,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-tolna,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-tolna,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-vas,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-vas,,True
nofluffjobs,full-stack-php-fejleszto-remote-trustindex-kft-veszprem,Full-stack PHP fejlesztő (remote),Trustindex Kft,Remote,Remote,HU,,1052632,1804511,MONTH,HUF,FULL_TIME,2026-05-06,,values,fullstack,,,,,,https://nofluffjobs.com/hu/job/full-stack-php-fejleszto-remote-trustindex-kft-veszprem,,True
