source,job_id,title,company,city,location_full,country,zip,salary_min,salary_max,salary_period,salary_currency,employment_type,date_posted,valid_through,tags,category,description,requirements,what_we_offer,contact_name,contact_email,url,direct_apply,remote
profession,2915246,Vendéglő Takarító - Mosogató Budapest 12.,,,,HU,,,,,HUF,,"Tue, 02 Ju",,,,"Magyaros vendéglőbe keressük lendületes, alapos kollégánkat teljes munkaidőbe, akinek feladata: - a vendégtér takarítása - fekete és fehér mosogatás kézzel és géppel  ​​​- alkalmanként besegítés zöldség előkészítésbe -munkaidő keddtől - vasárnapig beosztás szerint, de kérjük csak akkor jelentkezz,...",,,,,https://www.profession.hu/allas/vendeglo-takarito-mosogato-budapest-kobufe-kft-budapest-2915246,,
profession,2915245,Szervizmérnök,,,,HU,,,,,HUF,,"Tue, 02 Ju",,,,"Az ország egész területén levő gépparkunk ( hullám és  szelektív forrasztás, reflow ,  lakkozás, adagolás ) , és jövőbeli új gépeink ""gondviselése"" : Telepítés, oktatás, javítás , karbantartás, folyamat optimalizálás...",,,,,https://www.profession.hu/allas/szervizmernok-icco-emt-kft-budapest-2915245,,
profession,2914843,Szerelő szakember,,,,HU,,,,,HUF,,"Tue, 02 Ju",,,,"Fékszerkezeti elemek és futóművek javítása; Villamos és mechanikus berendezés karbantartása; A hibák feltárása és elhárítása; Dízelmotorok beszabályzása és beállítása; Vezető által kiadott feladtok elvégzése; Használati eszközök, gépek rendeltetésszerű használata; Munkaterület tisztántartása",,,,,https://www.profession.hu/allas/szerelo-szakember-delego-szemelyzeti-szolgaltato-kft-szolnok-2914843,,
profession,2914836,Járműfényező/Festő,,,,HU,,,,,HUF,,"Tue, 02 Ju",,,,"Fém és alumínium felületek előkészítése festéshez/fényezéshez (tisztítás, csiszolás, portalanítás, zsírtalanítás, maszkolás); Festési és fényezési műveletek szakszerű elvégzése; Felülethibák javítása, polírozása; Rétegvastagság és minőség-ellenőrzés az előkészített és kész felületeken",,,,,https://www.profession.hu/allas/jarmufenyezo-festo-delego-consulting-kft-szolnok-2914836,,
profession,2915239,Kontroller,,,,HU,,,,,HUF,,"Tue, 02 Ju",,,,"A pénzügyi vezető jobbkezeként lehetőséged lesz meglévő folyamatok javításán, fejlesztésén dolgozni, újakat kialakítani; A cég belső riportrendszerének továbbfejlesztése és automatizálása; Folyamatos együttműködés különböző operatív csapatokkal; Üzleti tervezés támogatása",,,,,https://www.profession.hu/allas/kontroller-kboss-hu-kft-budapest-2915239,,
profession,,Nyomda Vezető / Igazgató,,,,HU,,,,,HUF,,"Tue, 02 Ju",,,,"A nyomda teljes körű operatív irányítása, a termelési folyamatok optimalizálása.; A termelési és logisztikai csapatok koordinálása, hatékony együttműködés biztosítása.; Költséghatékonysági célok elérése, a határidők pontos betartása.; Üzleti stratégiák kidolgozása a cégvezetés támogatásával.",,,,,https://www.profession.hu/allas/nyomda-vezeto-igazgato-print-pro-group-kft-budaors-2915238/pro,,
profession,2915237,Mérlegképes könyvelő,,,,HU,,,,,HUF,,"Tue, 02 Ju",,,,"ügyfelek teljes körű könyvelési feladatainak ellátása (kimenő/bejövő számlák, bank, pénztár, vegyes tételek),; összesítő kimutatások készítése,; statisztikák készítése,; bevallások készítése,; adatszolgáltatás, pénzügyi kimutatások készítése és elemzése,; havi, negyedéves és év végi zárási feladatok ellátása,",,,,,https://www.profession.hu/allas/merlegkepes-konyvelo-loyal-konyvelo-iroda-kft-budapest-2915237,,
profession,2915233,Junior konzulens/Junior rendszerelemző – Vállalatirányítási terület,,,,HU,,,,,HUF,,"Tue, 02 Ju",,,,"Saját fejlesztésű ügyviteli szoftver mély szintű megismerése; Hibajelentések felvétele, hibakeresés, dokumentálás; Felhasználók támogatása az ügyviteli rendszerünkben távolról és eseti jelleggel az ügyfélnél; Ügyfél-problémákra megoldások kidolgozása, egyeztetése; Üzleti igényspecifikációk készítése",,,,,https://www.profession.hu/allas/junior-konzulens-junior-rendszerelemzo-vallalatiranyitasi-terulet-euronet-magyarorszag-zrt-budapest-2915233,,
profession,2915232,Adminisztrációs munkatárs,,,,HU,,,,,HUF,,"Tue, 02 Ju",,,,"A cég napi adminisztratív feladatainak ellátása; Kimutatások, nyilvántartások és egyéb dokumentációk készítése, vezetése; Számlák kezelése, iktatása és nyomon követése; Webshopos rendelések feldolgozása és koordinálása; Termékbeszerzések intézése, beszállítókkal való kapcsolattartás",,,,,https://www.profession.hu/allas/adminisztracios-munkatars-ergonomico-kft-pecs-2915232,,
profession,2915231,Személyi asszisztens,,,,HU,,,,,HUF,,"Tue, 02 Ju",,,,"Fiatalos, lendületes csapatunkba keresünk új munkatársat, aki szereti a pörgős hétköznapokat és a kihívásokat kellő határozottsággal és önállóan, precízen oldja meg;...",,,,,https://www.profession.hu/allas/szemelyi-asszisztens-magyar-istvan-janos-nyiracsad-2915231,,
