source,job_id,title,company,city,location_full,country,zip,salary_min,salary_max,salary_period,salary_currency,employment_type,date_posted,valid_through,tags,category,description,requirements,what_we_offer,contact_name,contact_email,url,direct_apply,remote
randstad,38193,SAP Application Specialist SD/MM,Randstad Hungary,Budapest,Budapest,HU,,,,MONTH,HUF,FULL_TIME,2026-06-02,,it-telekom,it-telekom,"Cégleírás / Organisation/DepartmentJoin a global leader in agricultural technology that specializes in manufacturing equipment and solutions for grain and protein processing. This role is designed for an experienced SAP professional who is now looking to take ownership of regional, multi-functional projects in a complex, customized system environment. As an SAP Application Specialist, you will manage the technical bridge between core business requirements",,,,,https://www.randstad.hu/allasok/sap-application-specialist-sdmm_budapest_38193/,True,
randstad,38214,Junior Recruitment Consultant,Randstad Hungary,Budapest,Budapest,HU,,,,MONTH,HUF,FULL_TIME,2026-06-02,,hr-munkaugy,hr-munkaugy,"Cégleírás / Organisation/DepartmentA Randstad az innovatív technológia és az emberi kapcsolatok erősítése révén lett az utóbbi években a világ legnagyobb HR szolgáltatója. Magyarországon 2004-ben mindössze pár fővel indultunk el Budapesten, ma már 100+ kolléga dolgozik nálunk 4 különböző városban, de a nagy méretünk ellenére egy igazán szerethető munkahely tudtunk maradni. Hiszünk a pozitív és a konstruktív visszajelzés erejében, vállalati kultúránk fontos",,,,,https://www.randstad.hu/allasok/junior-recruitment-consultant_budapest_38214/,True,
randstad,37797,Infrastructure Project Engineer,Randstad Hungary,Budapest,Budapest,HU,,,,MONTH,HUF,FULL_TIME,2026-06-02,,it-telekom,it-telekom,"Cégleírás / Organisation/DepartmentOur partner, Alpha FMC is bringing their impressive UK success story to Hungary, building a brand-new Global Business Center in Budapest. They are looking for an Infrastructure Project Engineer to join their Digital Change & Adoption team and become a foundational part of this journey. They offer a unique environment that prioritizes an inclusive culture and service excellence from day one. In this role, you will work wit",,,,,https://www.randstad.hu/allasok/infrastructure-project-engineer_budapest_37797/,True,
randstad,38213,Project manager,Randstad Hungary,Veszprém,Veszprém,HU,,,,MONTH,HUF,FULL_TIME,2026-06-02,,gyartas-termeles,gyartas-termeles,"Pozíció leírása / Job descriptionStrategic Program Management: Leading high-impact international programs and projects aimed at driving business development, restructuring business units, and deploying global tools and processes.Stakeholder Alignment: Balancing and integrating diverse requirements from both headquarters and global subsidiaries.Facilitation & Ownership: Conducting high-energy virtual and in-person workshops to foster alignment, accelerate d",,,,,https://www.randstad.hu/allasok/project-manager_veszprem_38213/,True,
randstad,38206,Projektvezető,Randstad Hungary,Budapest,Budapest,HU,,,,MONTH,HUF,FULL_TIME,2026-06-02,,it-telekom,it-telekom,"Cégleírás / Organisation/DepartmentÜgyfelünk a bér- és munkaügy, valamint a humánerőforrás-gazdálkodás szakértője. 20 éves szakmai tapasztalattal, több mint 300 munkatárssal, országos hálózattal rendelkezik, több mint 4000 vállalatot, és több mint egymillió hazai munkavállalót nevezhet meg referenciaként.  Pozíció leírása / Job descriptionFeladatok: Projektkoordináció: A belső szakértői csapat (IT-támogatók, szakmai tanácsadók) és az ügyfél oldali projektc",,,,,https://www.randstad.hu/allasok/projektvezeto_budapest_38206/,True,
randstad,38212,Gyártásközi minőségellenőrzési csoportvezető – nyomásos alumíniumöntészet,Randstad Hungary,Ecser,Pest,HU,,,,MONTH,HUF,FULL_TIME,2026-06-02,,fizikai-munka,fizikai-munka,"Cégleírás / Organisation/DepartmentEcseri alumíniumöntészetbe keresünk gyártásközi minőségellenőrzési csoportvezetőt!Pozíció leírása / Job descriptionA gyártásközi minőségellenőrző csapat irányítása és koordinálása a nyomásos öntödében.A napi ellenőrzési feladatok szervezése és biztosítása a kontrolltervek, munkautasítások és vevői előírások szerint.A gyártás során felmerülő minőségi eltérések, hibák és folyamatinstabilitások azonnali felismerése és kezelé",,,,,https://www.randstad.hu/allasok/gyartaskozi-minosegellenorzesi-csoportvezeto-nyomasos-aluminiumonteszet_ecser_38212/,True,
randstad,38216,szerszámgép értékesítő,Randstad Hungary,Szeged,Csongrád,HU,,700000,,MONTH,HUF,FULL_TIME,2026-06-01,,ertekesites-kereskedelem,ertekesites-kereskedelem,"Cégleírás / Organisation/DepartmentPartnerünk egy stabil háttérrel rendelkező, ipari és gyártó vállalatok számára korszerű technológiai megoldásokat kínáló vállalkozás. Folyamatos növekedésük támogatására olyan eredmény orientált, üzleti szemléletű szakembert keresünk, aki aktív szerepet vállal a vállalat értékesítési tevékenységében, valamint hosszú távú partnerkapcsolatok kialakításában és fejlesztésében. Ha magabiztosan mozogsz ügyféltárgyalásokon, szív",,,,,https://www.randstad.hu/allasok/szerszamgep-ertekesito_szeged_38216/,True,
randstad,38211,Digital Marketeer,Randstad Hungary,Budapest,Budapest,HU,,500000,,MONTH,HUF,FULL_TIME,2026-06-01,,marketing-pr,marketing-pr,"Cégleírás / Organisation/DepartmentOur partner, Air France-KLM Business Service Center Budapest, is currently looking for a Digital Marketeer to support the execution of digital marketing campaigns, assist with CRM activities, and contribute to the success of various initiatives under the guidance of senior team members.Pozíció leírása / Job descriptionAssist in the execution of digital marketing strategies across various channels under the guidance of sen",,,,,https://www.randstad.hu/allasok/digital-marketeer_budapest_38211/,True,
randstad,38209,bemutatóterem vezető / értékesítési tanácsadó - szeged,Randstad Hungary,Szeged,Csongrád,HU,,600000,,MONTH,HUF,FULL_TIME,2026-06-01,,ertekesites-kereskedelem,ertekesites-kereskedelem,"Cégleírás / Organisation/DepartmentPartnerünk egy stabil háttérrel rendelkező, prémium termékeket forgalmazó vállalat, amely hosszú évek óta meghatározó szereplője saját szegmensének.Szegedi bemutatótermük vezetésére olyan önálló, felelősségteljes és ügyfélközpontú szakembert keresünk, aki egy személyben gondoskodik a bemutatóterem magas színvonalú működtetéséről, valamint a prémium ügyfélélmény biztosításáról.Ha szívesen dolgoznál önállóan, magabiztosan k",,,,,https://www.randstad.hu/allasok/bemutatoterem-vezeto-ertekesitesi-tanacsado-szeged_szeged_38209/,True,
randstad,38210,bemutatóterem vezető / értékesítési tanácsadó - debrecen,Randstad Hungary,Debrecen,Hajdú-Bihar,HU,,600000,,MONTH,HUF,FULL_TIME,2026-06-01,,ertekesites-kereskedelem,ertekesites-kereskedelem,"Cégleírás / Organisation/DepartmentPartnerünk egy stabil háttérrel rendelkező, prémium termékeket forgalmazó vállalat, amely hosszú évek óta meghatározó szereplője saját szegmensének.Most nyíló debreceni bemutatótermük vezetésére olyan önálló, felelősségteljes és ügyfélközpontú szakembert keresünk, aki egy személyben gondoskodik a bemutatóterem magas színvonalú működtetéséről, valamint a prémium ügyfélélmény biztosításáról.Ha szívesen dolgoznál önállóan, m",,,,,https://www.randstad.hu/allasok/bemutatoterem-vezeto-ertekesitesi-tanacsado-debrecen_debrecen_38210/,True,
